year,news,govsharegdp,regulation,sd_dshare_std,diff_std,seediff_std,norm_news,norm_reg
1950.0,39.554848,22.7,23031.0,,-1.1486572,,39.20655,28.26460776338253
1951.0,42.42175,20.7,26513.0,-0.2935703,-1.1486572,-0.5021286,42.048206,32.537863993337716
1952.0,35.798523,25.8,29216.0,,-1.1621591,,35.4833,35.855098797923844
1953.0,39.00217,26.8,30359.0,,-1.1621591,,38.658737,37.25783626800965
1954.0,39.92616,25.7,30850.0,,-1.013436,,39.574593,37.86041203162481
1955.0,28.32429,24.7,33195.0,-0.347642,-1.013436,,28.074883,40.73829424278073
1956.0,33.816303,23.9,34528.0,,-1.0481687,,33.518536,42.37420767027363
1957.0,35.34172,24.7,36429.0,,-1.0481687,,35.03052,44.70719448622562
1958.0,37.16278,26.3,36710.0,,-0.91648537,,36.835545,45.05204945481189
1959.0,26.610636,27.3,38777.0,-1.144566,-0.91648537,-0.6104489,26.376316,47.58875842302481
1960.0,29.219814,26.2,39673.0,,-0.9947691,,28.96252,48.6883671484814
1961.0,30.832916,27.4,37680.0,,-0.9947691,,30.561419,46.24247407946914
1962.0,37.024597,27.8,39145.0,,-0.91058,,36.698578,48.04038343526591
1963.0,41.51137,27.7,38337.0,0.1473962,-0.91058,-0.4301336,41.145847,47.048771995345234
1964.0,37.129173,27.7,39042.0,,-0.89887005,,36.802235,47.913977521513644
1965.0,34.675198,26.5,40904.0,,-0.89887005,-1.878348,34.369865,50.199101904103124
1966.0,42.295177,27.0,41245.0,,-0.96139956,,41.92275,50.617591385554796
1967.0,50.6659,28.9,41600.0,-0.48464,-0.96139956,-0.5495779,50.21977,51.05326225334172
1968.0,55.133476,30.3,42735.0,,-0.82010525,,54.648003,52.44618178837881
1969.0,54.121895,29.5,43443.0,,-0.82010525,,53.64533,53.315069040190494
1970.0,57.2483,29.5,44031.0,,-0.8070844,,56.744205,54.03668726627138
1971.0,76.98977,30.1,45353.0,-0.3155739,-0.8070844,-0.8595616,76.311844,55.65910103307229
1972.0,62.281483,30.1,47894.0,,-0.7044272,,61.733067,58.77752265292184
1973.0,82.897545,28.7,52689.0,,-0.7044272,,82.1676,64.66214747274813
1974.0,97.38006,29.0,55784.0,,-0.7807843,,96.52258,68.46046109472151
1975.0,91.93124,32.0,59342.0,-1.900122,-0.7807843,-0.6749925,91.12174,72.82698770763953
1976.0,74.99614,32.0,62950.0,,-0.83880323,,74.33576,77.25487641461206
1977.0,88.9645,30.8,70413.0,,-0.83880323,,88.18113,86.41378257318631
1978.0,104.4325,30.2,77874.0,,-0.7109132,,103.512924,95.5702342479984
1979.0,125.67023,29.5,79456.0,-0.6461489,-0.7109132,0.4114123,124.563644,97.5117309038827
1980.0,111.660446,31.3,83630.0,,-0.5771624,,110.67723,102.63423851555213
1981.0,120.702805,31.5,87388.0,,-0.5771624,,119.63996,107.24621350468814
1982.0,146.17357,32.8,87929.0,,-0.39608383,,144.88644,107.9101513623578
1983.0,132.85324,33.3,87857.0,-0.1046941,-0.39608383,0.9051732,131.68341,107.82178994691932
1984.0,124.34899,31.6,92284.0,,-0.28766438,,123.25404,113.25478975450451
1985.0,144.02844,32.5,89867.0,,-0.22976477,-0.7602667,142.76021,110.28854612791011
1986.0,148.93752,32.5,93108.0,,-0.1632806,,147.62605,114.26603706452262
1987.0,152.02014,32.0,95385.0,-0.2894819,-0.1632806,0.4078384,150.68153,117.06046682776443
1988.0,131.92824,31.6,99208.0,,-0.08514876,,130.76656,121.7522125391713
1989.0,121.69521,31.5,102751.0,,-0.08514876,-1.166914,120.623634,126.10033052387297
1990.0,132.2157,32.5,105928.0,,0.061665885,,131.05148,129.9992779800957
1991.0,122.36898,33.5,107866.0,-0.2071118,0.061665885,0.4217891,121.29147,132.37767274564803
1992.0,120.63022,33.4,111658.0,,0.39096805,,119.568016,137.0313739587411
1993.0,113.56451,32.4,114160.0,,0.39096805,-0.3789392,112.564514,140.10193314522814
1994.0,113.375175,31.8,116699.0,,0.84229434,,112.376854,143.21790028131554
1995.0,112.256256,31.6,116476.0,0.5337446,0.84229434,0.7076159,111.26779,142.94422534183246
1996.0,97.93216,31.0,113592.0,,1.0304929,,97.069824,139.40485975676907
1997.0,104.76675,30.1,113366.0,,1.0304929,-0.0136092,103.84423,139.12750309164272
1998.0,148.67973,29.5,114561.0,,1.1392691,,147.37054,140.5940571395452
1999.0,119.92068,29.0,116357.0,1.672466,1.1392691,0.9082965,118.864716,142.79818355798275
2000.0,137.83838,28.8,118754.0,,1.3112341,,136.62465,145.73988234695537
2001.0,176.3126,29.2,121007.0,,1.3112341,,174.76009,148.50485830505102
2002.0,171.45197,30.4,123772.0,,1.4555838,,169.94226,151.8981821062647
2003.0,167.22722,31.3,127841.0,1.485352,1.4555838,2.239964,165.75471,156.8918293204197
2004.0,133.82886,30.9,130748.0,,1.6321757,,132.65044,160.45942146874816
2005.0,126.89576,31.1,134261.0,,1.6321757,,125.77839,164.77072219701714
2006.0,120.34244,31.2,136146.2887,,1.6857511,,119.282776,167.08442744760276
2007.0,149.65572,30.9,137827.4997,1.894593,1.6857511,1.82283,148.33792,169.14767999775185
2008.0,184.90047,32.6,139562.6013,,1.7576711,,183.27234,171.27706934921804
2009.0,170.04778,37.2,144297.0259,,1.7576711,,168.55043,177.08735350120054
2010.0,227.40196,35.8,146206.1678,,2.111114,,225.39958,179.43033239782417
2011.0,217.5058,35.5,149569.4733,,2.111114,,215.59056,183.55792176632437
2012.0,219.13933,34.0,154202.3007,,,,217.20972,189.24352157946535
