country,netexports,gdp,pop,gascon,diecon,gasprice,dieprice,spotgasprice,spotdieprice,gas,die,Agas,Adie,predictgas,predictdie,COSTgas,COSTdie,AREAgas,AREAdie,DWLgas,DWLdie,DWLtot
Afghanistan,-36.25321,456.9615678,34385068.0,,,4.845328043850219,4.58034916645216,4.684082506851597,4.8760825068515965,,,,,,,,,,,0.0,,
Albania,-13.75079,3700.7384109999994,3204284.0,11.698725658826252,52.267526856,6.85159668700695,6.77588843632179,4.684082506851597,4.8760825068515965,37.48603944896642,167.4800000242511,118.944573198495,527.8891069353067,47.09446965553669,204.03283921069033,-81.25152206349766,-318.17949711374047,-90.61210553649354,-349.8620934524618,0.0,0.0,0.0
Algeria,1545.1315,4566.891032,35468208.0,22.47237457826403,53.44856957937202,1.097769634934815,0.6435201308238572,3.9270000000000005,4.119,797.0548557957809,1895.7249831436393,842.9366562955955,1455.166258004241,370.9867504916692,622.3540795349737,2255.051800640076,6588.55401641,1454.7058777770733,3358.8481611147677,0.8003459228630029,3.2297058552952325,4.030051778158235
American Samoa,-2.00315,,68420.0,,,,,4.684082506851597,4.8760825068515965,,,,,,,,,,,,,
Angola,1890.11576,4237.347642,19081912.0,19.794635843645676,14.678089220753586,2.3848098965825293,1.5898732643883529,3.9270000000000005,4.119,377.7194992404925,280.0860068385685,636.2703187935904,369.9209397140549,280.0303631839648,158.2099671911044,582.5152735964906,708.3730081661301,497.22509075626596,515.9140021455637,0.08529018284022465,0.19245900602056645,0.2777491888607911
Antigua and Barbuda,-4.55068,13006.30092,88710.0,,,3.747558408915403,3.633996032887664,4.684082506851597,4.8760825068515965,,,,,,,,,,,,,
Argentina,108.86387999999998,9124.335133,40412376.0,35.9715524406525,51.90081336250512,5.526702300016655,5.034598670563118,3.9270000000000005,4.119,1453.6959025353665,2097.435184311381,4054.648484701966,5531.812649353806,1784.500477575699,2365.8782291105586,-2325.4806788106125,-1920.408866347809,-2566.0277815680647,-2036.729912049989,0.0,0.0,0.0
Armenia,-46.52126,3030.7106269999995,3092072.0,19.41778806636798,,4.731765667822479,4.3532244143966805,4.684082506851597,4.8760825068515965,60.04119878195057,,152.56794341824425,,60.407181164353084,,-2.8629541464044794,,-2.871656177942478,,0.0,,
Aruba,-1.2637500000000026,,107488.0,,,,,4.684082506851597,4.8760825068515965,,,,,,,,,,,,,
Australia,-395.08164,51628.59957,22065300.0,188.01289472022,125.95066066480544,5.261723422618596,5.943097678785034,4.684082506851597,4.8760825068515965,4148.560925870071,2779.1391127671313,11235.031183913254,8096.88567672912,4448.356246458044,3129.503056008072,-2396.378532334776,-2965.3835982361625,-2480.2812888317135,-3142.4502589186673,0.0,0.0,0.0
Austria,-248.73896,44916.36084,8389771.0,61.341226928444605,178.7418684718976,6.85159668700695,6.85159668700695,4.684082506851597,4.8760825068515965,514.6388467886836,1499.6033445913408,1632.9678697047154,4758.296219377497,646.551193722289,1839.114834328383,-1115.4869980732697,-2962.4876718485884,-1243.9967034095755,-3267.504089666684,0.0,0.0,0.0
Azerbaijan,960.4779,5843.169752999999,9054332.0,36.10326761399848,16.445483431070308,2.876913526036067,2.15768514452705,3.9270000000000005,4.119,326.8909712619901,148.90286688540968,616.252948764431,236.20870703805173,271.2204733719088,101.02313164437359,343.2637873831486,292.0454048448651,311.6143554219983,237.07193846759378,0.0316494319611503,0.05497346637727134,0.08662289833842163
"Bahamas, The",-22.833039999999997,22664.85649,342877.0,,,,,4.684082506851597,4.8760825068515965,,,,,,,,,,,,,
Bahrain,-1.591120000000018,18184.19751,1261835.0,171.44786966993172,106.45366663748804,1.0220613842496555,0.6435201308238572,4.684082506851597,4.8760825068515965,216.3389226249583,134.32696244151472,219.19005749192488,103.10992629371523,86.7852919537771,39.85270909386265,792.2377042935443,568.5472473160464,463.49452291887997,269.70748304923575,0.32874318137466435,0.2988397642668107,0.627582945641475
Bangladesh,-104.82523,674.9316307,148692131.0,0.8332286068995448,3.0523044428730373,4.3532244143966805,2.876913526036067,4.684082506851597,4.8760825068515965,123.89453717005462,453.8536520715597,299.4599800674419,855.6022526925208,118.56706502110691,330.69626661819217,40.99151023366905,907.3301430513058,40.09297783760987,767.0114256314023,0.0008985323960591742,0.14031871741990345,0.14121724981596262
Barbados,-7.971439999999999,15034.88444,273331.0,,,4.731765667822479,4.3153702890541,4.684082506851597,4.8760825068515965,,,,,,,,,,,0.0,,
Belarus,-113.82872999999998,5817.897746,9490000.0,15.33157656462595,49.39044872609556,3.3311630301470254,3.406871280832185,4.684082506851597,4.8760825068515965,145.49666159830025,468.7153584106469,299.5094719098156,977.9634398783953,118.58666063615843,377.98972295727947,196.84526727183453,688.6418663846345,176.9915062642659,615.6404560686858,0.019853761007568634,0.07300141031594864,0.09285517132351728
Belgium,-579.9649000000001,43006.91365,10895586.0,35.30864900127465,176.2460467012082,7.911512196599184,7.495116817830807,4.684082506851597,4.8760825068515965,384.7084217372021,1920.3039589930304,1330.7221775676824,6430.385668539592,526.8811642783203,2485.389124221224,-1241.619382210582,-5029.341956111962,-1439.1763148065381,-5684.8501676535525,0.0,0.0,0.0
Belize,0.8516699999999999,4057.151146,344700.0,,,5.450994049331496,4.58034916645216,3.9270000000000005,4.119,,,,,,,,,,,0.0,0.0,0.0
Benin,-34.84499,741.0730348,8849892.0,20.999330360950683,13.595946947030717,4.693911542479899,4.769619793165059,4.684082506851597,4.8760825068515965,185.84180576673458,120.32266211895156,469.96374651935395,307.2116554757087,186.07568890699167,118.73945774184523,-1.8266457301092054,12.809877127171982,-1.827794510458865,12.725104897982284,0.0,8.477222918969752e-05,8.477222918969752e-05
Bermuda,-4.53796,89739.30912,64237.0,,,,,4.684082506851597,4.8760825068515965,,,,,,,,,,,,,
Bhutan,-1.99819,2183.442333,725940.0,,,4.504640915767,3.2554547794618656,4.684082506851597,4.8760825068515965,,,,,,,,,,,,,
Bolivia,-7.78143,1978.854327,9929849.0,23.610287099986344,30.451476823686004,2.649788773980588,2.044122768499311,4.684082506851597,4.8760825068515965,234.44658574951228,302.3785666862016,420.69821175874955,464.3604137476319,166.5696772457852,179.4785540925952,476.9332200832385,856.3239265959946,397.48045085440987,642.6333127411737,0.07945276922882863,0.213690613854821,0.2931433830836496
