country,netexports,gdp,pop,gascon,diecon,gasprice,dieprice
Afghanistan,-36.25321,456.9615678,34385068.0,,,4.845328043850219,4.58034916645216
Albania,-13.750789999999999,3700.7384109999994,3204284.0,11.698725658826252,52.267526856,6.85159668700695,6.77588843632179
Algeria,1545.1315,4566.891032,35468208.0,22.472374578264034,53.44856957937202,1.097769634934815,0.6435201308238572
American Samoa,-2.00315,,68420.0,,,,
Angola,1890.1157600000001,4237.347642,19081912.0,19.794635843645676,14.678089220753586,2.3848098965825293,1.5898732643883529
Antigua and Barbuda,-4.55068,13006.30092,88710.0,,,3.7475584089154035,3.633996032887664
Argentina,108.86387999999998,9124.335133,40412376.0,35.9715524406525,51.90081336250512,5.526702300016655,5.034598670563118
Armenia,-46.52126,3030.7106269999995,3092072.0,19.41778806636798,,4.731765667822479,4.3532244143966805
Aruba,-1.2637500000000026,,107488.0,,,,
Australia,-395.08164,51628.59957,22065300.0,188.01289472022,125.95066066480545,5.261723422618596,5.943097678785034
Austria,-248.73896,44916.36084,8389771.0,61.341226928444605,178.7418684718976,6.85159668700695,6.85159668700695
Azerbaijan,960.4779,5843.169752999999,9054332.0,36.10326761399848,16.445483431070308,2.876913526036067,2.15768514452705
"Bahamas, The",-22.833039999999997,22664.85649,342877.0,,,,
Bahrain,-1.5911200000000179,18184.19751,1261835.0,171.44786966993172,106.45366663748804,1.0220613842496555,0.6435201308238572
Bangladesh,-104.82522999999999,674.9316307,148692131.0,0.8332286068995448,3.0523044428730373,4.3532244143966805,2.876913526036067
Barbados,-7.971439999999999,15034.88444,273331.0,,,4.731765667822479,4.3153702890541
Belarus,-113.82872999999998,5817.897746,9490000.0,15.33157656462595,49.39044872609556,3.3311630301470254,3.406871280832185
Belgium,-579.9649000000001,43006.91365,10895586.0,35.30864900127465,176.2460467012082,7.911512196599184,7.495116817830807
Belize,0.8516699999999999,4057.151146,344700.0,,,5.450994049331496,4.58034916645216
Benin,-34.84499,741.0730348,8849892.0,20.999330360950683,13.595946947030717,4.693911542479899,4.769619793165059
Bermuda,-4.53796,89739.30912,64237.0,,,,
Bhutan,-1.99819,2183.442333,725940.0,,,4.504640915767,3.2554547794618656
Bolivia,-7.78143,1978.854327,9929849.0,23.610287099986344,30.451476823686004,2.649788773980588,2.044122768499311
Bosnia and Herzegovina,-28.01414,4427.347194,3760149.0,22.05073161284218,59.36238146509897,6.018805929470194,6.132368305497933
Botswana,-19.357229999999998,7426.628358,2006945.0,57.6173743477997,39.304198769085325,4.656057417137319,4.731765667822479
Brazil,-23.52496999999994,10992.94249,194946470.0,27.44516449168285,46.38448178935836,5.261723422618596,3.861120784943143
Brunei,144.72567999999998,31007.993729999995,398920.0,187.14128299100906,99.5850913412082,1.6277273897309328,0.9842072589070756
Bulgaria,-101.06994,6334.682132,7534289.0,24.497479796662365,54.09318918173379,6.397347182895992,6.359493057553411
Burkina Faso,-11.65636,559.198999,16468714.0,,,5.413139923988916,4.845328043850219
Burma (Myanmar),-4.85523,,47963012.0,2.7420883490977994,0.6435505169317407,3.9368290356283024,3.028330027406387
Burundi,-1.42918,241.7868565,8382849.0,,,5.5645564253592354,5.5645564253592354
Cambodia,-26.25466,795.166471,14138255.0,3.5501673640485585,9.09666160980546,5.110306921248277,4.807473918507639
Cameroon,28.81387,1144.249782,19598889.0,5.543476405966616,7.116291097378156,4.1639537876837815,3.823266659600563
