st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9,m_theta_mle1_z,m_theta_mle2_z,h_theta_mle1_z,h_theta_mle2_z
CH002,0.0,0.0,0.0,,6-7,17.0,12.0,0.34285715,0.56666666,0.30873024,0.3548643,0.8954926,0.81588626,0.0,4.0,5.0,3.0,3.0,0.0,0.0,1.0,,4-7,17.0,24.0,0.7058824,0.56666666,1.7625179,1.4222424,0.476545,0.4837678,1.0,Chhatarpur,,1.0,7.0,0.0,3.0,-1.254632,0.0,0.0,0.0,1.0,0.0,0.0,0.3548643,1.4222424,0.81588626,0.4837678
CH003,0.0,0.0,0.0,,8-9,13.0,12.0,0.34285715,0.43333334,-0.18854995,-0.16411197,0.23364116,0.31818628,0.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,,8-9,13.0,16.0,0.45714286,0.43333334,0.21127829,0.26243347,-0.69924283,-0.48249906,1.0,Chhatarpur,,1.0,8.0,0.0,3.0,-0.5490831,0.0,0.0,0.0,0.0,1.0,0.0,-0.16411197,0.26243347,0.31818628,-0.48249906
CH004,0.0,0.0,0.0,,4-5,10.0,13.0,0.37142858,0.33333334,-1.8168868,-1.992601,-1.3334575,-1.2739027,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,,4-7,9.0,8.0,0.23529412,0.3,-1.064634,-0.72820556,-1.038831,-0.78615844,0.0,Chhatarpur,,1.0,5.0,0.0,3.0,-0.5490831,0.0,1.0,0.0,0.0,0.0,0.0,-1.992601,-0.72820556,-1.2739027,-0.78615844
CH005,1.0,0.0,1.0,5.0,6-7,12.0,8.0,0.22857143,0.4,-0.5027009,-0.29242828,-0.14339846,-0.04863133,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,,4-7,22.0,21.0,0.61764705,0.73333335,0.8421229,0.74019915,0.9616728,0.83380604,0.0,Chhatarpur,,1.0,7.0,0.0,5.0,1.6231838,0.0,0.0,0.0,1.0,0.0,0.0,-0.29242828,0.74019915,-0.04863133,0.83380604
CH007,1.0,0.0,0.0,2.0,6-7,13.0,13.0,0.37142858,0.43333334,-0.24808475,-0.09278093,-0.29124078,-0.18283652,1.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,,4-7,15.0,18.0,0.5294118,0.5,0.59054226,0.56181973,0.15794322,0.16871296,1.0,Chhatarpur,,1.0,6.0,1.0,3.0,0.92924875,0.0,0.0,1.0,0.0,0.0,0.0,-0.09278093,0.56181973,-0.18283652,0.16871296
CH008,1.0,1.0,0.0,2.0,6-7,11.0,12.0,0.34285715,0.36666667,-0.24524583,-0.14809164,-0.6442388,-0.4676304,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,,4-7,18.0,18.0,0.5294118,0.6,0.32071364,0.33683115,0.6864438,0.621586,1.0,Chhatarpur,,1.0,6.0,0.0,3.0,1.4008003,0.0,0.0,1.0,0.0,0.0,0.0,-0.14809164,0.33683115,-0.4676304,0.621586
CH009,0.0,0.0,1.0,,8-9,18.0,12.0,0.34285715,0.6,1.107318,1.0516547,1.3434011,1.1751173,1.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,5.0,8-9,26.0,28.0,0.8,0.8666667,2.53848,2.0560255,2.1134498,1.9411601,1.0,Chhatarpur,,1.0,8.0,0.0,2.0,2.4518538,0.0,0.0,0.0,0.0,1.0,0.0,1.0516547,2.0560255,1.1751173,1.9411601
CH010,1.0,1.0,1.0,5.0,4-5,18.0,16.0,0.45714286,0.6,-0.03135126,0.01169661,0.13745536,0.18684278,1.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,4-7,17.0,21.0,0.61764705,0.56666666,1.4136505,1.1148,0.46258798,0.42838934,1.0,Chhatarpur,,1.0,5.0,0.0,4.0,3.1457887,0.0,1.0,0.0,0.0,0.0,0.0,0.011696608,1.1148,0.18684278,0.42838934
CH011,0.0,0.0,0.0,,8-9,6.0,10.0,0.2857143,0.2,-1.2860335,-1.534852,-1.0218524,-0.846348,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,8-9,13.0,12.0,0.34285715,0.43333334,-0.15830652,0.0023395587,-0.31218478,-0.17302667,1.0,Chhatarpur,14.0,1.0,8.0,0.0,3.0,-3.6438587,0.0,0.0,0.0,0.0,1.0,0.0,-1.534852,0.002339557,-0.846348,-0.17302667
CH012,0.0,1.0,1.0,,6-7,14.0,9.0,0.25714287,0.46666667,-0.4106451,-0.21194401,0.025100717,0.063590646,1.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,,4-7,8.0,15.0,0.44117647,0.26666668,0.0065750037,0.10089562,-0.99017864,-0.6761982,1.0,Chhatarpur,,1.0,7.0,1.0,5.0,-0.7125467,0.0,0.0,0.0,1.0,0.0,0.0,-0.21194401,0.10089562,0.063590646,-0.6761982
CH013,0.0,1.0,0.0,,6-7,11.0,10.0,0.2857143,0.36666667,-0.38847154,-0.2331626,-0.66176677,-0.45249963,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,Chhatarpur,,1.0,7.0,1.0,3.0,2.7408636,0.0,0.0,0.0,1.0,0.0,0.0,-0.2331626,,-0.45249963,
CH014,1.0,1.0,1.0,5.0,6-7,6.0,12.0,0.34285715,0.2,-0.2948451,-0.15478082,-1.6005024,-1.5461825,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,4-7,7.0,16.0,0.47058824,0.23333333,0.08742953,0.19632107,-1.31536,-1.5314437,1.0,Chhatarpur,14.0,1.0,7.0,1.0,3.0,0.6448682,0.0,0.0,0.0,1.0,0.0,0.0,-0.15478082,0.19632107,-1.5461825,-1.5314437
CH017,0.0,0.0,0.0,,8-9,16.0,12.0,0.34285715,0.53333336,-0.075251564,-0.09061296,0.8073058,0.75695646,0.0,2.0,4.0,1.0,3.0,1.0,0.0,0.0,5.0,8-9,21.0,12.0,0.34285715,0.7,-0.6428413,-0.388496,1.3140107,1.1563389,1.0,Chhatarpur,,1.0,9.0,0.0,3.0,1.6231838,0.0,0.0,0.0,0.0,0.0,1.0,-0.09061296,-0.388496,0.75695646,1.1563389
CH018,1.0,1.0,1.0,3.0,6-7,9.0,14.0,0.4,0.3,-0.3053058,-0.13347082,-0.58628565,-0.38404772,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0,4-7,23.0,14.0,0.4117647,0.76666665,-0.13279875,-0.013813436,1.2276257,1.0129739,1.0,Chhatarpur,,1.0,6.0,0.0,3.0,2.8658571,0.0,0.0,1.0,0.0,0.0,0.0,-0.13347082,-0.013813438,-0.38404772,1.0129739
CH019,1.0,1.0,1.0,5.0,6-7,15.0,12.0,0.34285715,0.5,-0.031152153,0.011558276,-0.024999594,0.046244647,1.0,3.0,4.0,2.0,2.0,0.0,0.0,1.0,,4-7,18.0,13.0,0.38235295,0.6,-0.24669826,-0.07990656,0.3113194,0.31163433,1.0,Chhatarpur,,1.0,6.0,0.0,3.0,1.4008003,0.0,0.0,1.0,0.0,0.0,0.0,0.011558274,-0.07990656,0.046244647,0.31163433
CH020,1.0,1.0,1.0,5.0,6-7,9.0,8.0,0.22857143,0.3,-0.24283507,-0.10509464,-1.1668823,-0.93377125,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,,4-7,13.0,14.0,0.4117647,0.43333334,-0.038345836,0.091099314,-0.18350382,-0.06461964,1.0,Chhatarpur,,1.0,6.0,1.0,3.0,1.4008003,0.0,0.0,1.0,0.0,0.0,0.0,-0.10509464,0.091099314,-0.93377125,-0.06461964
CH021,1.0,1.0,1.0,5.0,6-7,19.0,13.0,0.37142858,0.6333333,0.41169935,0.52359307,1.0022416,0.8818568,1.0,4.0,5.0,3.0,3.0,,,,,,,,,,,,,,,Chhatarpur,,1.0,7.0,1.0,1.0,0.92924875,0.0,0.0,0.0,1.0,0.0,0.0,0.52359307,,0.8818568,
CH022,1.0,1.0,1.0,5.0,6-7,19.0,13.0,0.37142858,0.6333333,0.6651228,0.61615807,1.1477622,0.95033425,1.0,5.0,5.0,3.0,3.0,,,,,,,,,,,,,,,Chhatarpur,,1.0,7.0,1.0,3.0,1.4008003,0.0,0.0,0.0,1.0,0.0,0.0,0.61615807,,0.95033425,
CH023,0.0,0.0,0.0,,8-9,20.0,20.0,0.5714286,0.6666667,1.9445013,1.5600622,1.7152224,1.450659,0.0,5.0,5.0,3.0,3.0,1.0,0.0,0.0,2.0,8-9,24.0,21.0,0.6,0.8,1.7111663,1.326779,1.8318907,1.6653379,1.0,Chhatarpur,,1.0,8.0,0.0,2.0,1.6909915,0.0,0.0,0.0,0.0,1.0,0.0,1.5600622,1.326779,1.450659,1.6653379
CH024,1.0,0.0,1.0,2.0,8-9,24.0,19.0,0.54285717,0.8,2.2581744,1.8115709,2.2272809,1.8314725,1.0,5.0,5.0,3.0,3.0,1.0,0.0,1.0,5.0,8-9,27.0,30.0,0.85714287,0.9,3.2469358,2.5327606,2.5609515,2.4485402,1.0,Chhatarpur,,1.0,8.0,0.0,5.0,3.9075315,0.0,0.0,0.0,0.0,1.0,0.0,1.8115709,2.5327606,1.8314725,2.4485402
CH025,0.0,0.0,0.0,,8-9,15.0,7.0,0.2,0.5,-0.33345965,-0.18960585,-0.045131963,-0.19706963,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,,8-9,15.0,20.0,0.5714286,0.5,1.3653232,1.0948491,0.11806013,0.14510396,1.0,Chhatarpur,,1.0,8.0,1.0,5.0,1.4008003,0.0,0.0,0.0,0.0,1.0,0.0,-0.18960585,1.0948491,-0.19706963,0.14510396
