ms_center,st_id,date,present,att_tot,att_per,tk,gp,cp,sgi_sch_mat,sgi_sch_hin,sgi_att_mat,sgi_att_hin,sgi_att_mat_tot,sgi_att_hin_tot,mean_attend,cal_att_mat_tot,cal_att_hin_tot,cal_att_tot,treat,strata,m_theta_mle1_z,h_theta_mle1_z,m_theta_mle2_z,h_theta_mle2_z,st_female1,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
GP,GP044,2015-10-17,1.0,84.0,0.9767442,Orientation,Orientation,Orientation,,,0.0,0.0,29.0,32.0,0.27795526,34.0,30.0,64.0,1.0,6.0,0.32413772,0.45489365,2.0598278,1.7022612,0.0,-1.3373805,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP028,2015-10-17,1.0,43.0,0.5,Orientation,Orientation,Orientation,,,0.0,0.0,17.0,15.0,0.27795526,20.0,13.0,33.0,1.0,6.0,-3.3459399,-2.2861621,0.331008,-1.3040055,0.0,-0.9738676,0.0,0.0,1.0,0.0,0.0,0.0
GP,GP043,2015-10-17,1.0,65.0,0.75581396,Orientation,Orientation,Orientation,,,0.0,0.0,21.0,25.0,0.27795526,22.0,22.0,44.0,1.0,6.0,0.98664063,-3.3458917,0.8762077,-0.71982163,0.0,-4.2518663,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP048,2015-10-17,0.0,0.0,0.0,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,0.0,,1.0,6.0,-0.8591655,-0.24121723,,,0.0,0.6448682,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP031,2015-10-17,1.0,36.0,0.41860464,Orientation,Orientation,Orientation,,,0.0,0.0,15.0,11.0,0.27795526,16.0,14.0,30.0,1.0,6.0,-3.4588523,-0.47658265,-2.3918715,-0.6355802,0.0,-2.09886,0.0,0.0,1.0,0.0,0.0,0.0
GP,GP095,2015-10-17,1.0,64.0,0.74418604,Orientation,Orientation,Orientation,,,0.0,0.0,24.0,24.0,0.27795526,24.0,17.0,41.0,1.0,6.0,0.22822987,-0.16131574,1.4309305,0.6509899,0.0,1.3891865,0.0,0.0,1.0,0.0,0.0,0.0
GP,GP022,2015-10-17,1.0,84.0,0.9767442,Orientation,Orientation,Orientation,,,0.0,0.0,29.0,32.0,0.27795526,32.0,28.0,60.0,1.0,6.0,-2.4820364,0.38226536,-0.21860811,1.2764298,0.0,-0.13606916,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP036,2015-10-17,0.0,71.0,0.8255814,Orientation,Orientation,Orientation,,,0.0,0.0,26.0,29.0,0.27795526,28.0,28.0,56.0,1.0,6.0,-3.712901,-2.9794645,-0.4626778,-0.9339395,0.0,-1.3516877,0.0,0.0,1.0,0.0,0.0,0.0
GP,GP047,2015-10-17,0.0,0.0,0.0,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,0.0,,1.0,6.0,-1.6109493,,,,0.0,0.6448682,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP041,2015-10-17,1.0,20.0,0.23255815,Orientation,Orientation,Orientation,,,0.0,0.0,7.0,9.0,0.27795526,5.0,7.0,12.0,1.0,7.0,0.89917195,1.9763924,1.8156884,1.7760997,0.0,0.18029445,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP062,2015-10-17,1.0,77.0,0.89534885,Orientation,Orientation,Orientation,,,0.0,0.0,26.0,31.0,0.27795526,31.0,27.0,58.0,1.0,7.0,0.06878865,1.0332348,1.387029,0.93875396,1.0,-2.106704,0.0,0.0,1.0,0.0,0.0,0.0
GP,GP032,2015-10-17,1.0,37.0,0.43023255,Orientation,Orientation,Orientation,,,0.0,0.0,14.0,14.0,0.27795526,17.0,13.0,30.0,1.0,7.0,0.4507857,-0.32915738,0.6214883,0.4556606,0.0,2.8614082,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP005,2015-10-17,1.0,76.0,0.88372093,Orientation,Orientation,Orientation,,,0.0,0.0,27.0,29.0,0.27795526,27.0,31.0,58.0,1.0,7.0,-0.49976787,-2.05991,0.06838174,0.2721873,1.0,0.6314769,1.0,0.0,0.0,0.0,0.0,0.0
GP,GP040,2015-10-17,1.0,26.0,0.30232558,Orientation,Orientation,Orientation,,,0.0,0.0,11.0,8.0,0.27795526,12.0,10.0,22.0,1.0,7.0,-1.5126224,-1.6248457,-0.5134148,-1.3590417,1.0,0.18029445,0.0,0.0,1.0,0.0,0.0,0.0
GP,GP085,2015-10-17,1.0,78.0,0.90697676,Orientation,Orientation,Orientation,,,0.0,0.0,25.0,30.0,0.27795526,22.0,24.0,46.0,1.0,8.0,-0.310022,0.014222339,0.09479214,-0.19366585,1.0,0.12410065,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP059,2015-10-17,1.0,68.0,0.7906977,Orientation,Orientation,Orientation,,,0.0,0.0,23.0,28.0,0.27795526,23.0,25.0,48.0,1.0,8.0,1.406743,1.6609781,2.4226067,2.896524,1.0,-1.4454192,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP086,2015-10-17,1.0,56.0,0.6511628,Orientation,Orientation,Orientation,,,0.0,0.0,19.0,23.0,0.27795526,18.0,20.0,38.0,1.0,8.0,-0.46308953,0.5851404,0.32886136,0.4496136,1.0,-1.8838367,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP061,2015-10-17,1.0,67.0,0.7790698,Orientation,Orientation,Orientation,,,0.0,0.0,22.0,28.0,0.27795526,24.0,22.0,46.0,1.0,8.0,0.5785794,2.6523674,1.7744808,1.9628078,1.0,0.12410065,0.0,0.0,0.0,0.0,1.0,0.0
GP,GP065,2015-10-17,0.0,62.0,0.7209302,Orientation,Orientation,Orientation,,,0.0,0.0,21.0,23.0,0.27795526,20.0,20.0,40.0,1.0,8.0,-0.88073194,-0.11652858,-1.1880902,-0.089010455,0.0,2.0786529,1.0,0.0,0.0,0.0,0.0,0.0
GP,GP010,2015-10-17,0.0,75.0,0.872093,Orientation,Orientation,Orientation,,,0.0,0.0,26.0,31.0,0.27795526,29.0,29.0,58.0,1.0,8.0,0.77784985,1.7863984,0.9159924,1.2429688,0.0,1.6231838,0.0,1.0,0.0,0.0,0.0,0.0
GP,GP058,2015-10-17,1.0,54.0,0.627907,Orientation,Orientation,Orientation,,,0.0,0.0,22.0,20.0,0.27795526,22.0,19.0,41.0,1.0,8.0,1.7993236,1.307879,3.149095,3.2096944,1.0,3.658444,0.0,0.0,0.0,1.0,0.0,0.0
