st_id,class_ms,section,treatment,lang1_term1_fa1,lang1_term1_fa2,lang1_term1_sa1,lang1_term2_fa3,lang1_term2_fa4,lang1_term2_sa2,lang1_attendance,lang1_ovrall_tot,lang1_grade,lang2_term1_fa1,lang2_term1_fa2,lang2_term1_sa1,lang2_term2_fa3,lang2_term2_fa4,lang2_term2_sa2,lang2_attendance,lang2_ovrall_tot,lang2_grade,math_term1_fa1,math_term1_fa2,math_term1_sa1,math_term2_fa3,math_term2_fa4,math_term2_sa2,math_attendance,math_ovrall_tot,math_grade,science_term1_fa1,science_term1_fa2,science_term1_sa1,science_term2_fa3,science_term2_fa4,science_term2_sa2,science_attendance,science_ovrall_tot,science_grade,social_term1_fa1,social_term1_fa2,social_term1_sa1,social_term2_fa3,social_term2_fa4,social_term2_sa2,social_attendance,social_ovrall_tot,social_grade,other_term1_fa1,other_term1_fa2,other_term1_sa1,other_term2_fa3,other_term2_fa4,other_term2_sa2,other_attendance,other_ovrall_tot,other_grade,finalresult,class,year,attn_per,att_const,school
CH050,9.0,C,0.0,4.0,4.0,10.0,8.0,6.0,12.0,,44.0,,7.0,7.0,12.0,6.0,6.0,12.0,,50.0,,7.0,7.0,2.0,7.0,7.0,4.0,,34.0,,6.0,7.0,2.0,7.0,8.0,3.0,,33.0,,8.0,9.0,6.0,7.0,8.0,18.0,,56.0,,8.0,8.0,10.0,9.0,7.0,10.0,,52.0,,Not Promoted,,2015-16,,,1.0
CH027,8.0,C,0.0,8.0,5.0,5.0,4.0,7.0,7.0,2.0,38.0,D,7.0,5.0,6.0,5.0,8.0,10.0,2.0,43.0,C2,9.0,4.0,3.0,5.0,7.0,3.0,2.0,33.0,D,8.0,3.0,1.0,4.0,8.0,7.0,2.0,33.0,D,9.0,6.0,5.0,7.0,7.0,7.0,2.0,43.0,C2,8.0,6.0,7.0,5.0,9.0,13.0,2.0,50.0,C2,Promoted,7.0,2014-15,,2.0,1.0
CH028,9.0,C,0.0,5.0,6.0,14.0,7.0,6.0,9.0,,57.0,,8.0,8.0,14.0,6.0,6.0,12.0,,54.0,,7.0,7.0,1.0,6.0,6.0,5.0,,32.0,,5.0,6.0,1.0,6.0,8.0,4.0,,30.0,,7.0,8.0,3.0,7.0,8.0,17.0,,50.0,,8.0,8.0,10.0,7.0,8.0,11.0,,52.0,,Not Promoted,,2015-16,,,1.0
CH216,8.0,D,0.0,6.0,4.0,4.0,5.0,7.0,8.0,4.0,38.0,D,8.0,6.0,9.0,6.0,7.0,16.0,4.0,56.0,C1,5.0,6.0,3.0,5.0,4.0,3.0,4.0,30.0,E1,7.0,5.0,9.0,4.0,8.0,12.0,4.0,49.0,C2,5.0,4.0,6.0,4.0,6.0,9.0,4.0,38.0,D,7.0,6.0,8.0,5.0,9.0,15.0,4.0,54.0,C1,Promoted,8.0,2015-16,,4.0,1.0
CH033,8.0,C,0.0,8.0,6.0,9.0,7.0,6.0,15.0,5.0,56.0,C1,8.0,7.0,8.0,7.0,7.0,14.0,5.0,56.0,C1,9.0,8.0,9.0,7.0,10.0,18.0,5.0,66.0,B2,6.0,5.0,3.0,6.0,6.0,9.0,5.0,40.0,D,9.0,7.0,9.0,6.0,8.0,13.0,5.0,57.0,C1,10.0,8.0,12.0,8.0,10.0,22.0,5.0,75.0,B1,Promoted,7.0,2014-15,,5.0,1.0
CH009,8.0,A,0.0,5.0,6.0,9.0,6.0,9.0,15.0,4.0,54.0,C1,8.0,8.0,18.0,8.0,9.0,28.0,4.0,83.0,A2,8.0,6.0,11.0,4.0,6.0,16.0,4.0,55.0,C1,7.0,7.0,6.0,4.0,8.0,12.0,4.0,48.0,C2,9.0,8.0,10.0,7.0,10.0,17.0,4.0,65.0,B2,9.0,5.0,9.0,7.0,9.0,25.0,4.0,68.0,B2,Promoted,7.0,2014-15,,4.0,1.0
CH082,8.0,A,1.0,5.0,4.0,6.0,4.0,5.0,5.0,1.0,30.0,E1,9.0,7.0,13.0,7.0,7.0,17.0,1.0,61.0,B2,9.0,4.0,2.0,4.0,6.0,2.0,1.0,28.0,E1,6.0,5.0,7.0,4.0,5.0,10.0,1.0,38.0,D,6.0,4.0,5.0,4.0,6.0,12.0,1.0,38.0,D,4.0,6.0,4.0,6.0,6.0,17.0,1.0,44.0,C2,Promoted,7.0,2014-15,,1.0,1.0
GP001,8.0,A,0.0,5.0,5.0,9.0,6.0,7.0,19.0,2.0,53.0,C1,6.0,6.0,9.0,6.0,6.0,23.0,2.0,58.0,C1,5.0,5.0,5.0,4.0,6.0,16.0,2.0,43.0,C2,6.0,5.0,4.0,5.0,5.0,15.0,2.0,42.0,C2,6.0,5.0,7.0,5.0,7.0,20.0,2.0,52.0,C1,7.0,5.0,14.0,6.0,7.0,19.0,2.0,60.0,C1,Promoted,8.0,2015-16,,2.0,4.0
CH122,8.0,A,1.0,7.0,6.0,8.0,5.0,4.0,14.0,1.0,45.0,C2,8.0,7.0,12.0,6.0,8.0,22.0,1.0,64.0,B2,7.0,6.0,5.0,5.0,7.0,12.0,1.0,43.0,C2,6.0,6.0,3.0,4.0,7.0,7.0,1.0,34.0,D,7.0,8.0,10.0,5.0,7.0,18.0,1.0,56.0,C1,9.0,8.0,11.0,6.0,8.0,22.0,1.0,65.0,B2,Promoted,7.0,2014-15,,1.0,1.0
CH105,8.0,C,1.0,7.0,5.0,8.0,4.0,5.0,13.0,2.0,44.0,C2,7.0,7.0,14.0,6.0,7.0,19.0,2.0,62.0,B2,8.0,6.0,7.0,5.0,6.0,12.0,2.0,46.0,C2,4.0,5.0,3.0,5.0,9.0,6.0,2.0,34.0,D,7.0,6.0,11.0,6.0,8.0,16.0,2.0,56.0,C1,8.0,7.0,7.0,6.0,8.0,20.0,2.0,58.0,C1,Promoted,7.0,2014-15,,2.0,1.0
