variable,country,repl_mean,repl_min,repl_max,pub_mean,pub_min,pub_max
Households in giant component,India,188.86666666666667,75.0,341.0,188.87,75.0,341.0
Households in giant component,Indonesia,23.601895734597157,2.0,82.0,23.6,2.0,82.0
Density of social network,India,0.0540850812037916,0.024495428670001724,0.12083333333333333,0.05,0.02,0.12
Density of social network,Indonesia,0.3587935553954981,0.09302325581395349,1.0,0.36,0.09,1.0
Average clustering,India,0.26381520562619093,0.1627227533096247,0.4534766697172367,0.26,0.16,0.45
Average clustering,Indonesia,0.7320443547919251,0.0,1.0,0.73,0.0,1.0
Density of comparison network,India,0.371482120914618,0.18012278081964492,0.6237837837837837,0.37,0.18,0.62
Density of comparison network,Indonesia,0.6968875809433821,0.0,1.0,0.7,0.0,1.0
Support,India,0.8182027542644299,0.6750972762645915,0.9473684210526315,0.85,0.68,0.95
Support,Indonesia,0.9542326306746975,0.0,1.0,0.95,0.0,1.0
