iso_i,iso_n,j,lD_inj_py
AUS,AUT,1,-8.869349858822659
AUS,BEL,1,-7.835634538311242
AUS,CAN,1,-8.587899994991622
AUS,DEU,1,-7.45114858030534
AUS,ESP,1,-7.951918895528291
AUS,FIN,1,-10.832296089872404
AUS,FRA,1,-8.053331714304909
AUS,GBR,1,-8.266728773068643
AUS,IRL,1,-7.854082362766231
AUS,ISR,1,-6.2881553441101685
AUS,ITA,1,-5.902509782083242
AUS,JPN,1,-6.5572063796513875
AUS,KOR,1,-5.651009178663656
AUS,NLD,1,-7.831355232142427
AUS,NOR,1,-7.649989080261725
AUS,NZL,1,-4.650029215650297
AUS,PRT,1,-7.686435500916351
AUS,USA,1,-8.804473640493473
AUT,AUS,1,-12.526934244570896
AUT,BEL,1,-9.497275756911678
AUT,CAN,1,-12.818118503173357
AUT,DEU,1,-6.716156173875257
AUT,ESP,1,-10.729117307884831
AUT,FIN,1,-7.3282869407360245
AUT,FRA,1,-8.92279620942512
AUT,GBR,1,-9.700672142395396
AUT,IRL,1,-9.747596616797576
AUT,ISR,1,-8.365713482418858
AUT,ITA,1,-5.81475276917733
AUT,JPN,1,-13.932430113968378
AUT,KOR,1,-12.230343058549494
AUT,NLD,1,-8.79133438714423
AUT,NOR,1,-9.18075852609605
AUT,NZL,1,-12.65775932051172
AUT,PRT,1,-10.130784887546572
AUT,USA,1,-12.237124304284341
BEL,AUS,1,-9.349676779132606
BEL,AUT,1,-4.348942352219181
BEL,CAN,1,-7.752184394363486
BEL,DEU,1,-4.015521289918903
BEL,ESP,1,-5.041292177346444
BEL,FIN,1,-4.723228819932745
BEL,FRA,1,-3.198469671263443
BEL,GBR,1,-4.563977306656815
BEL,IRL,1,-4.8554553470379975
BEL,ISR,1,-6.942409950696388
BEL,ITA,1,-4.526706481564968
BEL,JPN,1,-9.24228564749249
BEL,KOR,1,-9.644617346651243
BEL,NLD,1,-2.489925691847543
BEL,NOR,1,-4.312506797962446
BEL,NZL,1,-9.458957398591497
BEL,PRT,1,-4.203515501179327
BEL,USA,1,-8.542728357705915
CAN,AUS,1,-7.933071303226153
CAN,AUT,1,-6.016306469360823
CAN,BEL,1,-4.079401489730754
CAN,DEU,1,-6.07091355189697
CAN,ESP,1,-5.307508452080859
CAN,FIN,1,-5.449017886720384
CAN,FRA,1,-6.576607733259822
CAN,GBR,1,-5.652484955597773
CAN,IRL,1,-5.683459227058059
CAN,ISR,1,-6.87405629440053
CAN,ITA,1,-5.1838147851079786
CAN,JPN,1,-5.2845477214822765
CAN,KOR,1,-5.0145104173451305
CAN,NLD,1,-6.784896200895924
CAN,NOR,1,-6.197207092930016
CAN,NZL,1,-5.928725919419661
CAN,PRT,1,-4.2610878626447
CAN,USA,1,-4.52500097933364
DEU,AUS,1,-7.22082226396346
DEU,AUT,1,-1.164838622877672
DEU,BEL,1,-3.1167967299480415
DEU,CAN,1,-7.8500001443920935
DEU,ESP,1,-4.525703176551076
DEU,FIN,1,-2.980211859695239
DEU,FRA,1,-4.359460622708066
DEU,GBR,1,-4.793989006239865
DEU,IRL,1,-3.7259928644921425
DEU,ISR,1,-5.081216530192769
DEU,ITA,1,-3.366707585826364
DEU,JPN,1,-8.01005998898228
DEU,KOR,1,-7.603220488342448
DEU,NLD,1,-2.7184100820128694
DEU,NOR,1,-5.1727556000540424
DEU,NZL,1,-8.048013650023911
DEU,PRT,1,-2.871519773546802
DEU,USA,1,-7.698903730689844
ESP,AUS,1,-8.883485500528838
ESP,AUT,1,-2.91535028435455
ESP,BEL,1,-3.8822665346591716
ESP,CAN,1,-7.199380414343702
ESP,DEU,1,-3.4021103534171857
ESP,FIN,1,-3.2149967164388418
ESP,FRA,1,-3.0333805540671457
ESP,GBR,1,-3.6700080224530707
ESP,IRL,1,-4.000324687788478
ESP,ISR,1,-7.4079975798685
ESP,ITA,1,-3.9111645598032423
ESP,JPN,1,-8.455873898460256
ESP,KOR,1,-10.699086468438098
ESP,NLD,1,-3.637726389028077
ESP,NOR,1,-3.8105451030989133
ESP,NZL,1,-9.76782486632562
ESP,PRT,1,-1.4106335487474357
ESP,USA,1,-7.744674629456151
FIN,AUS,1,-16.74697141195865
FIN,AUT,1,-9.52765816958502
FIN,BEL,1,-9.464303128156855
FIN,CAN,1,-11.900243873991286
FIN,DEU,1,-9.079584950454906
FIN,ESP,1,-9.091924288810182
FIN,FRA,1,-9.708177233624399
FIN,GBR,1,-9.738204179015328
FIN,IRL,1,-6.71235328949539
FIN,ISR,1,-9.418429444667451
FIN,ITA,1,-8.586463348888083
FIN,JPN,1,-12.293076068892752
FIN,KOR,1,-9.97864331797826
FIN,NLD,1,-11.316770495572024
FIN,NOR,1,-8.916245217409584
FIN,NZL,1,-13.168355302901915
FIN,PRT,1,-9.850959384035889
FIN,USA,1,-11.313615367240942
FRA,AUS,1,-8.457969326344504
FRA,AUT,1,-4.9422250193651625
FRA,BEL,1,-3.028646436677231
FRA,CAN,1,-8.555780858506537
FRA,DEU,1,-4.603480547030704
FRA,ESP,1,-3.703975155008782
FRA,FIN,1,-5.705198144030632
FRA,GBR,1,-4.788699659624328
FRA,IRL,1,-4.265310203515034
FRA,ISR,1,-5.565486357161216
FRA,ITA,1,-3.3641099849688847
FRA,JPN,1,-10.036579018679
FRA,KOR,1,-9.57542252051109
FRA,NLD,1,-4.158411777725213
FRA,NOR,1,-6.293158144155058
FRA,NZL,1,-9.465048484011405
FRA,PRT,1,-2.826589046621208
FRA,USA,1,-9.322931190867521
GBR,AUS,1,-6.2134729481227655
GBR,AUT,1,-5.954126365295033
GBR,BEL,1,-3.8180672470998998
GBR,CAN,1,-7.990230021666632
GBR,DEU,1,-5.745943244736698
GBR,ESP,1,-3.8165215662462697
GBR,FIN,1,-3.666362585816215
GBR,FRA,1,-4.14637276240326
GBR,IRL,1,-1.2871576573092844
GBR,ISR,1,-3.739746940761986
GBR,ITA,1,-4.894371707256788
GBR,JPN,1,-8.547171446609601
GBR,KOR,1,-9.028899393632123
GBR,NLD,1,-4.495352033567194
GBR,NOR,1,-4.337834415316863
GBR,NZL,1,-6.409648079758169
GBR,PRT,1,-3.0147418039890668
GBR,USA,1,-7.8393148060845
IRL,AUS,1,-9.114161236171757
IRL,AUT,1,-8.692635660118928
IRL,BEL,1,-8.485326818489346
IRL,CAN,1,-11.043771321800588
IRL,DEU,1,-9.180605703470505
IRL,ESP,1,-6.608110466172704
IRL,FIN,1,-7.484218060602268
IRL,FRA,1,-6.67299279025938
IRL,GBR,1,-5.1130396102230655
IRL,ISR,1,-11.645840177999212
IRL,ITA,1,-7.171850041997676
IRL,JPN,1,-10.702543229226464
IRL,KOR,1,-14.506693203836877
IRL,NLD,1,-7.798301578787818
IRL,NOR,1,-6.178679640011363
IRL,NZL,1,-12.742004172525178
IRL,PRT,1,-8.587731384457493
IRL,USA,1,-9.649264320787545
ISR,AUS,1,-9.04511854352411
ISR,AUT,1,-5.615704173525967
ISR,BEL,1,-5.173793834246239
ISR,CAN,1,-8.664156004946395
ISR,DEU,1,-6.299901290546978
