col,coef,se,n,bw,panel
"(1) All, raw",34.69473606689783,10.68532233941531,90578,108.87434442095504,PM10
"(2) All, residual",34.624408211385585,5.811418538847016,234940,266.0332726653639,PM10
(3) Wave 1,27.580863936607514,9.890561256222531,81497,139.96456509346945,PM10
(4) Wave 2,63.25855739036309,9.626787216057487,69752,238.9425242959309,PM10
(5) Deadline,57.15796730417741,8.650859176437246,86042,184.37312565135434,PM10
"(1) All, raw",0.06522780198141143,0.043848881472787586,5057,6.898267468322028,AOD
"(2) All, residual",-0.005900302924061518,0.02094866522897458,5851,7.5280204145290766,AOD
(3) Wave 1,0.027196599743566592,0.03150446488971465,3173,7.84854631157833,AOD
(4) Wave 2,-0.031801665895811536,0.028934113170907987,2316,6.190409522957224,AOD
(5) Deadline,-0.0036529624456908896,0.025975774448756875,4385,9.361560119266617,AOD
