check,kappa_sigma,kappa_se,epsilon_sigma,epsilon_se,N
"baseline (2020, HC1 SEs)",1.5289931767765446,0.003283649849185925,0.44651117262908835,0.009902907560610115,75625
2018-2019 only,1.501583687099676,0.0013043317877185006,0.2168331690289672,0.005166736169187901,456250
full panel 2018-2020,1.5055627664095947,0.0012125909444744977,0.3363978572926761,0.0044658038916094885,531875
post-first-case (ipat=1),1.5328056741205263,0.0037208079035274113,0.41829325030666,0.012434222072573107,57500
off-diagonal only,1.6236562536322048,0.004456996756756222,0.4408735559461375,0.010000323288499514,72600
drop Gangnam (10123),1.5386154055635262,0.003286392371034022,0.4568021597431539,0.010197920163854363,69696
winsorise eod 1/99 pct,1.5044608798826706,0.003627761942321803,0.4436822819120653,0.009939874124799228,75625
"2020, cluster(RCo)",1.5289931767765446,0.048464596691623646,0.44651117262908835,0.04489957824996038,75625
"2020, cluster(date)",1.5289931767765446,0.0023029196719949324,0.44651117262908835,0.0776408376735284,75625
log(chi) instead of chi,1.5261660037230993,0.003283775370139937,0.3662421533507043,0.006013031949571061,75625
weekdays only,1.5253823370253456,0.0038135049452038138,0.34995176365574815,0.011215291541840651,54375
placebo (shuffle yod),1.531343792215418,0.003312150823288725,0.009206398796160455,0.007653390335039394,75625
