check,H1_b,H1_se,H1_p,H1_N,H2_b,H2_se,H2_p,H2_N,H3_b,H3_se,H3_p,H3_N
0. Baseline (paper spec),0.4892769465187716,0.13425932952764336,0.0002681541395651124,1008,0.005890354132633645,0.0022442677260755676,0.00867452455784124,1008,0.012038895710381838,0.005826123710834004,0.03905795843897142,1008.0
1. HC3 robust SEs,0.4892769465187716,0.140875685862515,0.000514461825497935,1008,0.005890354132633645,0.0023498635988977493,0.012187127483718092,1008,,,,
"2. No demographic controls, no occ FE",0.5281291043758327,0.13051235817225199,5.197067786508065e-05,1008,0.005309691257330933,0.002168901997683002,0.014361137253067598,1008,,,,
3. Drop occupation FE,0.5208744279453605,0.13061702315982246,6.668914114460879e-05,1008,0.005748142596156524,0.0021545786505055113,0.00763330651031256,1008,,,,
4. Cluster SEs on occupation,0.4892769465187716,0.20369727707921037,0.016306564727498297,1008,0.005890354132633645,0.0023024778330570476,0.01051951477426946,1008,,,,
"5. Winsorize outcome (1%, 99%)",0.4895981913309888,0.1342317574796384,0.000264897537804915,1008,0.005890354132633645,0.0022442677260755676,0.00867452455784124,1008,,,,
6. Trim |Del_unempincr| at 1/99 pct,0.637097382644346,0.16628428795054642,0.00012742936332391975,986,0.0042558432892376,0.0028551919217317265,0.1360762781061816,986,,,,
7. ACS arm only,0.9849719422707897,0.3278757533666752,0.002663667135351319,501,-0.002599148171908448,0.0052493107867334875,0.6205007045936336,501,,,,
8. CPS arm only,0.37602975285514817,0.13581535957322283,0.005628327128404081,507,0.008064432929222386,0.002360798676182941,0.0006355371843457697,507,,,,
9. Placebo shuffle (500 draws),0.0050578664276210465,0.08255438737388386,0.0,1008,4.156231711559262e-05,0.0013913558029614564,0.0,1008,,,,
10. Low-confidence subsample only,0.6420765213348179,0.180689829629201,0.00038017949800061147,722,0.0072362360598245,0.002656085469028931,0.0064418669389642415,722,,,,
11. Drop extreme (0 or 100) risk responses,0.4697839757622635,0.13551738469835492,0.0005270941668730441,966,0.006112204353567746,0.0022688739487158674,0.007061342874406354,966,,,,
12. IHS transform of outcome H1,0.022658782401402303,0.005440267170962977,3.113350972615027e-05,1008,0.005890354132633645,0.0022442677260755676,0.00867452455784124,1008,,,,
