outcome,b_low,se_low,n_low,b_high,se_high,n_high,p_diff
unemp_nextrecession,0.6420765213348179,0.180689829629201,722,0.14893734953657534,0.23829629370788372,286,0.09463529098537905
z_manip_1,0.01717584413716694,0.006572101380720702,722,-0.001174680254479834,0.009907606618287582,286,0.11685411112551027
z_manip_2,0.011130931897710715,0.005411096133260649,722,-0.004700631815112287,0.011139249821556086,286,0.19199881526139895
z_manip_3,0.019633541887412252,0.005570332297998484,722,-0.007476341537808016,0.01131712173279238,286,0.028300554083065484
z_manip_ind,0.022646019288457424,0.006591030836704004,722,-0.0023712387995626196,0.010972207760007614,286,0.04671217939283695
forecast_recession,0.0072362360598245,0.002656085469028931,722,0.0039391110503409115,0.003686983084891314,286,0.4616474577410806
forecast_govspending,-0.003131458336178284,0.0017080560999354316,722,-0.001162375896901669,0.0039810068861669224,286,0.6422535510861942
forecast_iratebonds,-0.0023402932969391953,0.0014639803424391549,722,-0.005195439647418419,0.0035146364825885093,286,0.44329704845084894
forecast_inflation,0.0026143017454626563,0.0023332302715505884,722,-0.0021671942328407605,0.003732378806915193,286,0.2692849112377651
othermacro,-0.0028574498876548235,0.002637940406337724,722,-0.00852500977716085,0.004400294790221985,286,0.26094626963059797
noforecast,-0.0043787861721696665,0.00230051307042046,722,0.004585898726819951,0.004983275591159501,286,0.09533261946208359
