scenario,outcome,check,conv,ci_lo,ci_hi,pct_diff
none,cod_MVA,"01 baseline (MSE-opt, firstmonth covs)",4.922692887609019,2.36097859599858,7.066291191182838,0.05473348798819
none,cod_MVA,02 no firstmonth covariate,3.5003806513699622,-1.334259953523281,7.6192505229207885,28.85405180142353
none,cod_MVA,03 drop agemo==0 month,4.767384046846416,0.9773528981032915,7.8623317239296,3.1019502673492627
none,cod_MVA,04 OLS bw=13 (Stata reg),5.567460622878852,4.602597883025139,6.532323362732566,13.159768757700242
none,cod_MVA,05 OLS bw=12,5.447145944735158,4.489541030782056,6.404750858688259,10.714348470226787
none,cod_MVA,06 OLS bw=24,6.329546154520746,5.513938720848226,7.145153588193266,28.649312083755007
none,cod_MVA,07 fixed h=8  (rdrobust),4.79250115073732,1.776827528355596,7.268239069812115,2.5914400256642267
none,cod_MVA,08 fixed h=12 (rdrobust),5.4471459447351975,3.3976996184184016,6.914868214914419,10.714348470227586
none,cod_MVA,09 fixed h=24 (rdrobust),6.329546154520692,5.127156400024654,7.100795189285063,28.649312083753898
none,cod_MVA,10 quadratic p=2,4.682748020096293,1.7158713165854524,7.37142532001994,4.82219471348998
none,cod_MVA,11 cubic p=3,4.504417097321897,1.525697552102561,7.36894145852312,8.446806965002086
none,cod_MVA,12 uniform kernel bw=13,5.96850955002451,4.970725009388166,6.9662940906608535,21.31116971594531
none,cod_MVA,13 placebo pseudo-p,0.0,,,
Female,cod_MVA,"01 baseline (MSE-opt, firstmonth covs)",4.459676038935614,2.4134649761376874,6.14446681491412,0.007263700995208122
Female,cod_MVA,02 no firstmonth covariate,3.056141608198274,-0.9991278972508337,6.460465491960672,31.476645556092507
Female,cod_MVA,03 drop agemo==0 month,4.396896983104707,1.7963066501745333,6.490534715131505,1.4148658496702438
Female,cod_MVA,04 OLS bw=13 (Stata reg),4.831396314572869,3.725329436364648,5.93746319278109,8.327271627194378
Female,cod_MVA,05 OLS bw=12,4.688799129211477,3.551779557987059,5.825818700435894,5.130025318642972
Female,cod_MVA,06 OLS bw=24,5.437693165607165,4.618148608362469,6.25723772285186,21.92137142616961
Female,cod_MVA,07 fixed h=8  (rdrobust),4.164560502348599,1.3598097954636938,6.425977318697253,6.624203983215271
Female,cod_MVA,08 fixed h=12 (rdrobust),4.688799129211479,2.7548854636404903,6.1787248935032055,5.130025318643039
Female,cod_MVA,09 fixed h=24 (rdrobust),5.437693165607138,4.170447836538824,6.1528724913137145,21.92137142616901
Female,cod_MVA,10 quadratic p=2,3.94685545564086,1.114276557261943,6.397840156934867,11.505483057379816
Female,cod_MVA,11 cubic p=3,3.9077415109044886,1.0330799961433574,6.4704383310807945,12.38247733398008
Female,cod_MVA,12 uniform kernel bw=13,5.306720265777524,4.256552997025733,6.3568875345293145,18.984759322366006
Female,cod_MVA,13 placebo pseudo-p,0.0,,,
Female,cod_sa_poisoning,"01 baseline (MSE-opt, firstmonth covs)",0.7470074956161262,0.5909433111315688,1.0667056120144212,0.001003429200308048
Female,cod_sa_poisoning,02 no firstmonth covariate,0.5893885307479765,0.35928222475453053,0.9519772804511305,21.0992596053579
Female,cod_sa_poisoning,03 drop agemo==0 month,0.7936207761920069,0.5122728388075346,1.2470579259777266,6.241067763320873
Female,cod_sa_poisoning,04 OLS bw=13 (Stata reg),0.4733743711730486,0.26859307873138294,0.6781556636147142,36.62993692462535
Female,cod_sa_poisoning,05 OLS bw=12,0.5145327251937212,0.31821299510808565,0.7108524552793567,31.12011710927427
Female,cod_sa_poisoning,06 OLS bw=24,0.21145853300024925,0.004959012539807212,0.41795805346069126,71.6922981258033
Female,cod_sa_poisoning,07 fixed h=8  (rdrobust),0.7061769609226805,0.5769680882474189,1.0605912194850804,5.4649316033895
Female,cod_sa_poisoning,08 fixed h=12 (rdrobust),0.5145327251937206,0.4625252957410805,0.8438164498809154,31.120117109274346
Female,cod_sa_poisoning,09 fixed h=24 (rdrobust),0.21145853300024592,0.1229989871732845,0.43754649512199306,71.69229812580376
Female,cod_sa_poisoning,10 quadratic p=2,0.8805906499448555,0.6046340158097648,1.2639555205255504,17.883621143889616
Female,cod_sa_poisoning,11 cubic p=3,0.9703016770805967,0.6166458078869912,1.4031183486697176,29.89312946192726
Female,cod_sa_poisoning,12 uniform kernel bw=13,0.33617985777080983,0.08863967014403501,0.5837200453975846,54.99600297579521
Female,cod_sa_poisoning,13 placebo pseudo-p,0.0,,,
none,cod_any,"01 baseline (MSE-opt, firstmonth covs)",5.844236972245554,1.9897721368100698,9.364031455697225,0.07255089461564168
none,cod_any,02 no firstmonth covariate,4.257589436294822,-2.0966050910166416,9.888538582720031,27.096071296321544
none,cod_any,03 drop agemo==0 month,5.665315487407426,-0.7963844891621017,11.5390361181827,2.9911731608317393
none,cod_any,04 OLS bw=13 (Stata reg),6.16124518101633,4.3306182826915505,7.9918720793411095,5.500773647539892
none,cod_any,05 OLS bw=12,6.026177177184936,4.128146065113233,7.924208289256638,3.1879653627557403
none,cod_any,06 OLS bw=24,6.784147159896252,5.598999401013717,7.969294918778786,16.166903422881028
none,cod_any,07 fixed h=8  (rdrobust),5.7099062256715,0.9579143496463782,10.316160181722223,2.227633122063344
none,cod_any,08 fixed h=12 (rdrobust),6.026177177184932,2.4695987938875685,9.161534022505991,3.187965362755696
none,cod_any,09 fixed h=24 (rdrobust),6.784147159896134,4.603730403747024,8.561930754668316,16.16690342287901
none,cod_any,10 quadratic p=2,5.579415815568369,1.1364592110483178,10.070897233781345,4.46205795259641
none,cod_any,11 cubic p=3,5.234116011084798,0.33816914815937515,10.393531186064857,10.374725837589072
none,cod_any,12 uniform kernel bw=13,6.611471860454315,4.9759828401204835,8.246960880788146,13.210134596820456
none,cod_any,13 placebo pseudo-p,0.02,,,
