importer,my_median_distortion,pub_median_distortion,diff
AUS,1.0002011858753415,0.9982466468413922,0.001954539033949265
AUT,1.008031949088328,1.005501114587632,0.002530834500696022
BEL,1.0039867263147546,1.0046380782445161,-0.0006513519297615122
BGR,1.0078866869328709,1.0007305225799619,0.007156164352909
BRA,1.0058166265688318,1.006312492930596,-0.0004958663617642411
CAN,1.0017497079722621,1.000933618873889,0.0008160890983730518
CHN,0.9992697994188884,0.9874906945911849,0.011779104827703502
CYP,1.0173619930590616,1.0021304192360712,0.015231573822990452
CZE,0.9974792208628853,,
DEU,1.0056287718546386,1.003656195526162,0.001972576328476583
DNK,1.0069595701093552,0.9446493766380294,0.062310193471325825
ESP,1.0033238909513162,1.0047702321754897,-0.0014463412241734197
EST,1.005896082561478,1.0096655618340051,-0.003769479272527132
FIN,1.0121049988696984,1.0157001105736518,-0.0035951117039534353
FRA,1.0016576736634515,1.0023251211502873,-0.0006674474868357816
GBR,1.0019738157336033,1.0070267716652517,-0.00505295593164834
GRC,0.9993374186217735,1.0002544304852228,-0.0009170118634492797
HUN,1.0100301654107577,1.0099042847903121,0.00012588062044560644
IDN,0.9991494823177326,0.9847473163735599,0.014402165944172651
IND,1.0017453542030132,0.9983152368711765,0.003430117331836735
IRL,1.0217534673359088,1.0534041138791121,-0.031650646543203376
ITA,1.0020344694320993,1.0077413755242555,-0.005706906092156183
JPN,1.004631438750506,1.0022123354462262,0.002419103304279746
KOR,1.001662822719899,0.99393424037254,0.007728582347358959
LTA,,1.0297983398903747,
LTU,0.9977604817271494,1.0411003653710753,-0.043339883643925936
LUX,0.9962878185716146,1.027006146154845,-0.030718327583230343
LVA,1.0065004692232824,,
MEX,0.9997145536490971,0.9967124913634857,0.0030020622856113954
MLT,1.0063172852731768,1.0103110767423225,-0.003993791469145691
NLD,0.9931837306028066,0.9838091448919727,0.009374585710833938
POL,0.9985691431552882,1.0051783118609412,-0.006609168705652979
PRT,1.007484694660222,1.0067888609045845,0.0006958337556375316
ROU,0.993850121498092,0.9943101250422602,-0.0004600035441681971
ROW,,1.0158629788062616,
RUS,0.9969019710125075,1.0021309731238495,-0.005229002111341918
SVK,1.004238131491469,1.0220630575859253,-0.017824926094456295
SVN,1.0030444267954113,1.0197998548581861,-0.016755428062774858
SWE,0.9988189385899735,1.0097576872620202,-0.010938748672046694
TUR,1.0019596592201252,0.9808758712857738,0.021083787934351395
TWN,0.9967559151678858,1.0059367060262396,-0.009180790858353882
USA,1.0060414479910216,1.0086210616278635,-0.002579613636841893
