Variable,Agr (1),Agr (2),Man (3),Man (4),Ser (5),Ser (6)
Panel A: Employment share,,,,,,
share_65plus, -1.947*** (0.422), -0.635**  (0.275), -1.412*** (0.330), -0.885**  (0.388), +3.360*** (0.572), +1.520*** (0.481)
log_gdp_pc,          -, -1.248*** (0.079),          -, +1.275*** (0.250),          -, -0.027    (0.244)
log_gdp_pc2,          -, +0.059*** (0.005),          -, -0.070*** (0.014),          -, +0.010    (0.013)
R²,0.803,0.952,0.524,0.706,0.820,0.923
N,745,745,745,745,745,745
Panel B: Value added share,,,,,,
share_65plus, -0.990*** (0.250), -0.054    (0.103), -1.581*** (0.296), -1.230*** (0.380), +2.571*** (0.347), +1.284*** (0.346)
log_gdp_pc,          -, -0.713*** (0.038),          -, +1.557*** (0.154),          -, -0.843*** (0.128)
log_gdp_pc2,          -, +0.033*** (0.002),          -, -0.084*** (0.009),          -, +0.051*** (0.008)
R²,0.706,0.952,0.588,0.764,0.765,0.873
N,745,745,745,745,745,745
