check,N,imposed_b,imposed_se,imposed_p,voluntary_b,voluntary_se,voluntary_p,control_mean,r2
0. baseline,2534,-0.045144283350627146,0.016030912109124516,0.004861400924242435,-0.03804369163465035,0.016236716376093918,0.01912601981299558,0.146919431279621,0.0037409901555163216
1. probit (avg marginal effects),2534,-0.04393334789790343,0.015638439547795313,0.004964659890261976,-0.03621259853692038,0.015476335268554622,0.01929050016997515,0.14691943127962084,0.0049918530065828914
2. + basic demographics,2534,-0.04500559823589423,0.01602732117957795,0.004984172460915248,-0.03522632855853127,0.01645583755178447,0.032301587337632935,0.1436727980489625,0.006249346021521496
3. trim duration > p99 (3824s),2508,-0.045762928827445044,0.016073416701801027,0.004411687846390975,-0.0374467864860321,0.016353504355722817,0.02203102580726287,0.1469534050179213,0.0037790620040696332
4. pooled any-factcheck effect,2534,-0.041593987492638144,0.01429755402917656,0.003623919954620442,,,,0.14691943127962045,0.0036609106701488425
"5. permutation test (2000 draws, seed 20260410)",2534,-0.045144283350627146,0.015537055945161997,0.0045,-0.03804369163465035,0.01566872308388195,0.0125,,
6. subgroup: men,1270,-0.06211437002593248,0.023593871389578597,0.008472197823013753,-0.02437852096932848,0.024971554818029824,0.3289397859310986,0.16824644549763051,0.005441294198502256
6. subgroup: women,1264,-0.0282052436649368,0.021682847469125775,0.19332383218110427,-0.051958212786076624,0.02057336469850991,0.011553090087276632,0.12559241706161142,0.005063829592507396
7. exclude MLP voters,2479,-0.04405506148924304,0.01622235744770473,0.00661357506944789,-0.04126899964651828,0.016316741068606956,0.011430892437368516,0.14634146341463428,0.0038900965176461577
8. outcome rescaled ×100 (pp),2534,-4.51442833506272,1.6030912109124436,0.004861400924242162,-3.804369163465032,1.6236716376093718,0.019126019812994197,14.691943127962094,0.0037409901555165437
9. HC3 robust SEs,2534,-0.045144283350627146,0.01604041556085036,0.004886707317062723,-0.03804369163465035,0.016246341500417982,0.0191972973555453,0.146919431279621,0.0037409901555163216
10. Fisher exact: alt-facts vs pooled FC,2534,0.041593987492638596,,0.0027413650126003157,,,,0.14691943127962084,
11. placebo DV = MLP voter (pre-treat),2534,-0.011867971620067941,0.007216499113469429,0.10006041448457723,-0.008317675762079656,0.007491999152376565,0.26690950013359116,0.02843601895734598,0.0011646262379471084
12. jackknife by 30 time bins (imposed coef range),2534,-0.04514495736840289,0.003367485032280946,,-0.052503481225391106,-0.03628542950427298,,,
