survey,imposed,voluntary,want_share_fb,want_share_facts,see_facts,age,age_sqrd,male_raw,male,educ,income,religion_q8,q13,q14,q15,neg_image_ue,vote_2nd,second_mlp,share_interest,share_reciprocity,share_image,share_influence,gave_charity,gave_homeless,donated_blood,worked_charity,altruism,reciprocity,image
1,0,0,0,0,0,29,841,2,0,2,3,1,1,250.0,3,3,7,0,5.0,5.0,5.0,5.0,1,1,1,1,1.0,5,1
1,0,0,0,0,0,29,841,1,1,4,1,1,1,269.0,2,1,7,0,4.0,1.0,4.0,3.0,0,1,0,0,0.25,5,5
1,0,0,0,0,0,34,1156,2,0,4,1,1,1,100.0,3,3,7,0,2.0,1.0,1.0,1.0,1,1,1,0,0.75,4,4
1,0,0,0,0,0,61,3721,1,1,4,1,1,1,30.0,3,1,1,0,4.0,2.0,3.0,4.0,0,0,1,1,0.5,4,4
1,0,0,0,0,0,55,3025,1,1,7,1,1,1,101.0,3,3,7,0,4.0,1.0,1.0,3.0,1,1,0,0,0.5,5,4
1,0,0,0,0,0,51,2601,1,1,6,1,1,1,160.0,3,1,2,1,5.0,5.0,5.0,5.0,0,0,0,0,0.0,5,5
1,0,0,0,0,0,36,1296,1,1,4,1,2,1,150.0,2,3,7,0,4.0,3.0,5.0,4.0,1,1,0,1,0.75,4,4
1,0,0,0,0,0,23,529,2,0,6,1,1,2,200.0,2,3,4,0,3.0,1.0,3.0,2.0,1,0,1,1,0.75,4,4
1,0,0,1,0,0,24,576,2,0,6,2,2,1,3000.0,2,1,1,0,3.0,3.0,4.0,4.0,1,0,1,1,0.75,3,2
1,0,0,0,0,0,25,625,2,0,3,1,1,1,60.0,3,1,1,0,3.0,3.0,1.0,1.0,1,1,1,0,0.75,3,2
1,0,0,0,0,0,36,1296,2,0,5,1,1,1,223.0,3,8,7,0,5.0,3.0,4.0,4.0,1,1,0,1,0.75,4,4
1,0,0,0,0,0,20,400,2,0,1,1,1,1,200.0,3,3,7,0,3.0,1.0,1.0,1.0,0,0,0,0,0.0,5,5
1,0,0,0,0,0,53,2809,2,0,1,1,1,3,0.0,1,8,1,0,,,,,0,0,0,0,0.0,5,5
1,0,0,0,0,0,35,1225,2,0,4,1,1,2,233.0,3,3,7,0,4.0,4.0,4.0,4.0,0,0,1,0,0.25,5,3
1,0,0,0,0,0,42,1764,2,0,7,1,1,2,5.0,2,1,1,0,4.0,3.0,3.0,4.0,0,1,0,0,0.25,4,4
1,0,0,0,0,0,39,1521,1,1,6,1,1,1,2500.0,3,3,7,0,3.0,2.0,2.0,2.0,0,0,0,0,0.0,3,2
1,0,0,0,0,0,53,2809,1,1,5,1,1,1,96.0,3,1,1,0,3.0,3.0,3.0,3.0,0,0,0,0,0.0,4,4
1,0,0,0,0,0,31,961,2,0,7,1,1,1,50.0,3,3,7,0,5.0,2.0,5.0,5.0,0,0,1,1,0.5,5,5
1,0,0,0,0,0,44,1936,1,1,4,1,1,2,5.0,2,1,7,0,2.0,2.0,2.0,2.0,0,0,0,0,0.0,2,3
1,0,0,1,0,0,23,529,2,0,9,1,1,1,20.0,3,1,1,0,5.0,5.0,5.0,5.0,0,0,0,0,0.0,5,5
1,0,0,0,0,0,28,784,1,1,4,2,1,1,88.0,3,3,7,0,2.0,3.0,2.0,2.0,1,1,1,1,1.0,5,4
1,0,0,0,0,0,38,1444,2,0,8,1,1,1,120.0,3,1,7,0,5.0,5.0,5.0,5.0,0,0,1,1,0.5,5,5
1,0,0,0,0,0,37,1369,1,1,7,1,1,4,56.0,2,3,7,0,1.0,1.0,1.0,3.0,1,1,1,1,1.0,1,1
1,0,0,0,0,0,46,2116,2,0,8,1,1,1,150.0,3,1,7,0,4.0,2.0,4.0,4.0,1,1,0,0,0.5,5,5
1,0,0,0,0,0,53,2809,2,0,5,1,1,2,80.0,2,3,7,0,5.0,2.0,2.0,1.0,0,1,0,0,0.25,5,3
1,0,0,1,0,0,44,1936,1,1,4,1,1,1,300.0,3,3,7,0,5.0,3.0,3.0,5.0,1,0,1,0,0.5,5,5
1,0,0,1,0,0,45,2025,2,0,3,2,1,1,250.0,3,5,6,0,3.0,3.0,3.0,3.0,0,1,0,1,0.5,2,2
1,0,0,0,0,0,48,2304,2,0,1,2,2,3,2.0,2,3,4,0,3.0,3.0,3.0,3.0,0,0,1,1,0.5,5,5
1,0,0,1,0,0,54,2916,1,1,4,1,1,1,3000.0,3,1,1,0,5.0,5.0,5.0,5.0,0,0,0,0,0.0,5,5
1,0,0,0,0,0,64,4096,2,0,4,1,1,1,145.0,3,1,7,0,5.0,1.0,1.0,5.0,1,0,0,1,0.5,5,5
1,0,0,0,0,0,38,1444,2,0,3,1,1,1,110.0,3,1,7,0,5.0,4.0,4.0,4.0,0,1,1,1,0.75,5,5
1,0,0,1,0,0,36,1296,2,0,5,1,1,1,60.0,2,1,8,0,5.0,2.0,1.0,3.0,1,1,1,0,0.75,5,3
1,0,0,0,0,0,52,2704,2,0,1,1,1,1,40.0,3,3,7,0,5.0,4.0,4.0,5.0,0,0,0,1,0.25,4,4
1,0,0,0,0,0,42,1764,1,1,6,2,2,1,99.0,3,3,4,0,3.0,4.0,4.0,4.0,0,0,0,0,0.0,4,4
1,0,0,0,0,0,64,4096,1,1,4,1,1,2,10.0,1,1,1,0,,,,,0,0,0,0,0.0,3,3
1,0,0,0,0,0,60,3600,1,1,4,1,1,1,6007.0,3,1,1,0,3.0,4.0,5.0,3.0,0,0,0,1,0.25,5,3
1,0,0,0,0,0,65,4225,2,0,3,1,1,2,10.0,2,1,1,0,2.0,2.0,4.0,3.0,0,0,0,1,0.25,5,5
1,0,0,0,0,0,54,2916,2,0,5,1,2,1,38.0,2,1,7,0,3.0,1.0,1.0,1.0,1,0,1,1,0.75,5,5
1,0,0,0,0,0,45,2025,2,0,5,1,1,1,187.0,3,1,1,0,4.0,1.0,3.0,4.0,0,1,0,1,0.5,5,4
1,0,0,0,0,0,70,4900,1,1,4,1,1,3,30.0,3,1,1,0,3.0,2.0,2.0,4.0,0,1,1,0,0.5,5,4
1,0,0,1,0,0,55,3025,1,1,6,1,1,1,100.0,3,3,7,0,5.0,2.0,2.0,2.0,0,0,1,0,0.25,5,5
1,0,0,0,0,0,24,576,2,0,1,1,1,1,97.0,3,3,7,0,4.0,2.0,3.0,5.0,0,0,0,0,0.0,5,5
1,0,0,0,0,0,46,2116,2,0,5,1,1,1,1.0,1,1,1,0,,,,,1,1,0,1,0.75,4,1
1,0,0,0,0,0,46,2116,2,0,1,1,1,2,50.0,2,1,1,0,4.0,2.0,4.0,4.0,0,0,0,1,0.25,5,4
1,0,0,0,0,0,42,1764,1,1,4,1,1,1,5234.0,3,4,1,0,5.0,5.0,5.0,5.0,0,1,1,1,0.75,4,4
1,0,0,1,0,0,25,625,2,0,6,1,1,1,100.0,3,3,1,0,5.0,5.0,5.0,5.0,0,0,0,0,0.0,5,5
1,0,0,1,0,0,69,4761,2,0,4,1,1,1,25.0,3,3,1,0,4.0,4.0,3.0,4.0,0,0,0,0,0.0,4,4
1,0,0,0,0,0,37,1369,2,0,3,1,1,1,75.0,2,1,1,0,4.0,3.0,4.0,4.0,1,1,1,1,1.0,4,3
1,0,0,0,0,0,52,2704,1,1,7,1,1,1,345.0,3,1,7,0,3.0,3.0,3.0,4.0,0,0,0,0,0.0,3,3
1,0,0,0,0,0,32,1024,2,0,7,1,1,2,0.0,3,2,7,0,1.0,1.0,1.0,1.0,1,1,1,0,0.75,5,2
1,0,0,0,0,0,64,4096,2,0,3,1,1,2,6.0,1,1,1,0,,,,,0,1,0,0,0.25,4,3
1,0,0,0,0,0,33,1089,1,1,6,1,1,1,50.0,3,3,7,0,4.0,4.0,4.0,4.0,0,1,1,0,0.5,5,5
1,0,0,0,0,0,45,2025,2,0,9,1,2,1,160.0,3,3,4,0,2.0,4.0,3.0,3.0,0,0,0,0,0.0,3,3
1,0,0,0,0,0,59,3481,2,0,4,2,2,1,20.0,1,3,7,0,,,,,1,1,1,1,1.0,5,4
1,0,0,0,0,0,67,4489,1,1,3,1,1,3,4.0,1,2,1,0,,,,,0,1,0,0,0.25,5,4
1,0,0,0,0,0,47,2209,2,0,3,2,1,1,527.0,2,1,7,0,4.0,2.0,2.0,3.0,1,1,0,1,0.75,5,4
1,0,0,0,0,0,31,961,2,0,4,1,1,5,2.0,1,1,1,0,,,,,0,0,0,0,0.0,3,3
