dropped,mean_agric,mean_manuf,mean_serv
BWA,0.6408449311631005,0.09407289643588759,0.262665056304473
ETH,0.6107505214754659,0.09654353993262176,0.28925908303323505
GHA,0.6451750849480885,0.08497517978603447,0.2664028413830199
KEN,0.6182093410929209,0.09682410309112396,0.28295595446694244
MWI,0.6039308817663678,0.09847642038416102,0.29414584229079377
MUS,0.6786582249201324,0.06517661125558734,0.25390425173453013
NGA,0.6376229936130998,0.08490340576015694,0.2739707085594998
SEN,0.6291255532446212,0.09710100069038645,0.2703245722783048
TZA,0.6047715456482655,0.09922655998837404,0.2924080502833863
ZAF,0.6752059874601194,0.08703849698993466,0.23430865999126857
ZMB,0.6111125298393613,0.09816835656107403,0.28727225804088735
