check,n_hw,total,cooking,firewater,cleaning,laundry,care,domestic
baseline (age 15-59),3354,45.743084876199624,23.589454553609972,0.5411615912876696,6.4708450932260035,4.65457287743493,7.3715175948506815,3.115533165790366
age 18-64,3342,45.7459390486797,23.57708762875519,0.5423770525635397,6.462878140966904,4.654101916542182,7.389922669424919,3.1195716404269676
age 25-54,2804,46.43641281535719,23.933488874557312,0.568509895919295,6.613651792451184,4.742240201131797,7.142758751454014,3.4357632998435808
include unmarried women,4134,43.56524654173431,22.578515870206335,0.6577466863628175,6.511737525737006,4.535252719909042,6.173547839492608,3.108445900026501
drop no-education restriction,3371,45.729478616974916,23.570229571706985,0.5382541777957927,6.470367970665883,4.650674426302212,7.366363224612272,3.133589245891768
drop no-paid-mkt restriction,5246,43.238348352753064,22.899275985545277,0.8399437612917374,5.925500940383227,4.536979305685369,6.3852801806784,2.6513681791690575
uniform weights,3354,45.99268559033319,23.967524113683666,0.6037495342206651,6.570998221151383,4.661384305718845,6.89122886092956,3.2978005546290676
drop tranche 1 days,2883,39.36581623726707,20.37660796979366,0.47137872656353635,5.544781106816406,3.9976805502695143,6.325073325316907,2.6502945585070425
weekdays only (d1-5),2414,32.85978927544366,16.915783051076446,0.3656784787231818,4.657410655980756,3.312353663726611,5.438424588925574,2.1701388370110952
weekends only (d6-7),940,12.88329560075596,6.6736715025335265,0.17548311256448781,1.8134344372452469,1.342219213708319,1.933093005925108,0.9453943287792708
winsorize 1/99,3354,44.81743972885806,23.40527498768894,0.4928913548849357,6.260048917426077,4.550726127180923,7.084299284595612,3.0241990570815758
