dropped,coef,se
Brazil,1.4415075586449868,0.4086151626870796
Canada,1.2673327000332797,0.4355599151595098
India,1.9725056164672825,0.3984882414183043
Indonesia,1.1402928042018248,0.40552300253904566
Israel,1.5131894840542819,0.431806459049143
Jamaica,1.3192716409761087,0.4029848371011042
Mexico,1.4206014629719348,0.409731976360385
Panama,1.4066018075070783,0.4131294685491613
Trinidad and Tobago,1.4735869353231312,0.35908881503341106
United States,1.213849283058552,0.4465662935334464
Uruguay,1.409699365342821,0.4076706437153949
Venezuela,1.4116081952631008,0.41271920502443854
