country,w5/w3,H5/L3,irAQ(hrs),irAQ(bod),irAQ(pop),irAQ(minc)
India,2.22987,0.20468030240136637,0.040682626839768685,0.05049059285753,0.09240053040574632,0.039851323
Indonesia,1.9566764,0.07039967299999715,0.00325174495326883,0.004041996160974637,0.00876604306166674,0.006152779
Jamaica,2.9694178,0.06692017579821315,0.010269428542465467,0.011070600129868147,0.011071412712344393,0.002980668
Brazil,3.4194767,0.15772247212875973,0.08711326655085952,0.12149904857763702,0.11457330447761975,0.021602774
Venezuela,2.4900336,0.2569474527014725,0.08927347743142654,0.1317671688469818,0.15222838751033616,0.05478926
Uruguay,2.2175434,0.36331717110203854,0.12606844355608188,0.18886703280116443,0.2248185202622327,0.2595727
Panama,2.2617354,0.3133429466203624,0.09949091746609813,0.12347667728437892,0.11862136629810942,0.07743882
Mexico,2.2050016,0.22733008039506278,0.04852423622574995,0.0688567197004803,0.07047751100248588,0.040277474
Trinidad and Tobago,2.7462144,0.10015037520009376,0.018193936227679147,0.021506907078920442,0.023993403025632676,0.008595998
Israel,1.606249,0.5964895197784704,0.12914048585742505,0.15495640410427727,0.10893819842817551,0.15598732
Canada,1.5077981,1.5393394456779466,0.7114043704642284,0.8252342324900693,0.9276051214100449,1.628183
United States,1.8015581,1.3973927146878455,1.0,1.0,1.0,1.0
