spec,coef,se,n,sig
00 Baseline (Table 2 col 2),-0.2024752553195635,0.03860471234346868,8446,***
01 Alt treatment: Appointments_2010,-0.24127662293513572,0.051854001512833044,8446,***
02 Cluster at district level,-0.2024752553195635,0.03993515984266268,8446,***
03 Cluster at judge level,-0.2024752553195635,0.05879459268267341,8446,***
04 Post-2010 only,-0.25060090147226777,0.033335627783141704,3272,***
05 Drop most-frequent district,-0.1931888981183149,0.038490896118908574,6801,***
06 Drop most-common bench type,-0.2582193399955355,0.026067494735910753,6094,***
07 Winsorize pagesjudgenum at p99,-0.2024595657162066,0.03859289176089114,8446,***
08 LOO district min (-0.2319),-0.23187335120955088,,-1,
08 LOO district max (-0.1880),-0.18796373212725856,,-1,
09 Outcome = Merit (expected +),0.2148180286324954,0.03841753246933137,8446,***
10 Placebo (shuffle) p95 pct = 0.0508,0.0,,500,
11 Restrict to 2000-2019,-0.23986079210851616,0.03339872123043454,5769,***
12 Drop reform year (2010),-0.17888713471444342,0.04830619955083997,8154,***
