spec,panel,N,R2,const_b,const_se,d_pos_gift_b,d_pos_gift_se,d_neg_gift_b,d_neg_gift_se,d_knd_gift_b,d_knd_gift_se,preoutputmean_b,preoutputmean_se,output58mean_b,output58mean_se
col1_no_ctrls_9_10,A (levels),892,0.003262499332804869,36.61344537815127,0.708704739937102,0.44753023160484484,0.9660631825422777,-0.045985060690942325,0.9528846779690104,-1.151906916612801,1.2422172365132391,,,,
col2_preoutputmean_9_10,A (levels),892,0.5849704594715661,6.222928028008194,1.0452248418050913,0.9025203246162321,0.737498925920411,-0.014145408919628788,0.7453984807111351,-1.0111107849754486,0.9732056191967288,0.8674153779856966,0.0280413121245166,,
col3_output58mean_9_10,A (levels),892,0.6080668312284168,5.148892379684164,1.1175190960479575,0.6028614581960153,0.7285894564040596,-0.04741171398175953,0.7540703045938554,-1.0899023697423593,0.9269094436221993,,,0.8149043597187015,0.026572013276686915
col4_time9,A (levels),446,0.668497280996429,4.446198302853405,1.021948084993428,1.3502328908170458,0.6355065103061436,0.226365948551436,0.7379250628694128,-1.0244150655539093,0.9068388987174102,,,0.833103520748762,0.023629961027762218
col5_time10,A (levels),446,0.5563999325587738,5.851586456514922,1.4591091823481275,-0.14450997442499203,0.9039865014629895,-0.321189376514986,0.9494458786755074,-1.1553896739308698,1.0803323667791334,,,0.7967051986886399,0.03539835754107395
col6_match0,A (levels),446,0.5948714610974976,5.760730582949426,1.1919911831612506,0.777882872991887,0.7709181324843473,-0.22735062674566747,0.8594608634208528,-1.2557441281903636,0.9770630722612623,,,0.7960113304595297,0.02799389156591467
col7_match1,A (levels),446,0.6221424392511501,4.537054176418851,1.313022816363036,0.4278400434001819,0.8008800099508748,0.13252719878213604,0.8396814339549715,-0.9240606112943786,1.0128720348838676,,,0.8337973889778731,0.03197452256742678
col1_no_ctrls_9_10,B (log),892,0.0033610535958096266,3.572337387912161,0.0204223762943667,0.0056777719845671065,0.02849202456734875,-0.016612343911520118,0.0352879236420903,-0.03992176490044497,0.03694967633163656,,,,
col2_preoutputmean_9_10,B (log),892,0.4868773623475392,2.734510871386741,0.03014366294228186,0.018221249289980826,0.022178353578460687,-0.015734566668585796,0.030871304238653186,-0.036040201083978984,0.029485221954594847,0.023913498942604874,0.0007955789172799898,,
col3_output58mean_9_10,B (log),892,0.5141440525895128,2.697967315427367,0.03363796213479019,0.00999427938450629,0.02189983226178811,-0.01665198925278258,0.030993861809734024,-0.038198717376326685,0.028302254394345493,,,0.022645418929353938,0.000803901653425261
col4_time9,B (log),446,0.5694736881307993,2.676343516297256,0.03503744970491145,0.03349722410813635,0.018309731650788655,-0.007517662858560786,0.03128561454554892,-0.032055864824502844,0.02688158096991908,,,0.02320129455747804,0.0008205279080785732
col5_time10,B (log),446,0.4675613180649303,2.7195911145574785,0.03943329412906774,-0.01350866533912265,0.027938410722842706,-0.025786315647007035,0.03502110483035354,-0.04434156992815552,0.033795494999097495,,,0.022089543301229718,0.0009457562139781417
col6_match0,B (log),446,0.49765603038457085,2.7084444704778003,0.038858071266106305,0.017454617560818952,0.023387349278195156,-0.024522017073398975,0.034725729645960435,-0.040839594264522716,0.02964095945228253,,,0.022286201649212828,0.000917553146719409
col7_match1,B (log),446,0.5321390809714412,2.6874901603769317,0.03526875919326087,0.0025339412081960278,0.024090775597287787,-0.008781961432167633,0.0315905834320735,-0.03555784048813182,0.03125929963807899,,,0.023004636209495007,0.0008481033293452831
