year,public_sticker,public_net,private_sticker,private_net
90-91,3520,2000,17240,11750
91-92,3720,2060,17340,11150
92-93,4000,2160,17900,10890
93-94,4220,2260,18340,10870
94-95,4390,2310,19000,11190
95-96,4440,2320,19280,11360
96-97,4560,2340,19920,11800
97-98,4660,2150,20670,12000
98-99,4790,1880,21690,12420
99-00,4850,1800,22400,12840
00-01,4890,1720,22380,12780
01-02,5110,1740,23560,13910
02-03,5480,1900,24130,14260
03-04,6080,2320,24800,14420
04-05,6510,2640,25470,14690
05-06,6760,2870,25840,14710
06-07,6860,2910,26380,14900
07-08,7150,3050,27060,15080
08-09,7220,2650,27150,14210
09-10,7900,2220,28760,13430
10-11,8420,2290,29550,12920
11-12,8820,3100,29700,12770
12-13,9080,3410,30450,13000
13-14,9150,3370,31040,12980
14-15,9240,3430,31600,13050
15-16,9500,3620,32600,13310
16-17,9650,3770,33480,14190
