dropped,sal_nonagri_africa,baseline
Egypt,17.05309709287512,19.93960238099098
Kenya,19.0383848716147,19.93960238099098
Morocco,19.222747854324858,19.93960238099098
Sudan,19.588352139416536,19.93960238099098
Mauritius,19.817345686230926,19.93960238099098
Botswana,19.81972145775587,19.93960238099098
Namibia,19.859171206574015,19.93960238099098
Eswatini,19.90051312673017,19.93960238099098
Lesotho,19.901903217153595,19.93960238099098
Benin,19.91695424840774,19.93960238099098
Sao Tome and Principe,19.929539778567307,19.93960238099098
Congo,19.96239033241337,19.93960238099098
Ghana,19.971311215381576,19.93960238099098
Rwanda,19.98365898921774,19.93960238099098
Liberia,19.990314292466508,19.93960238099098
Senegal,20.021826398988452,19.93960238099098
Zambia,20.029252509708908,19.93960238099098
Cameroon,20.06542561407638,19.93960238099098
Malawi,20.073411854656584,19.93960238099098
Togo,20.086944996943615,19.93960238099098
Sierra Leone,20.134190223333995,19.93960238099098
Guinea,20.229739079346864,19.93960238099098
Mali,20.34403142605412,19.93960238099098
Uganda,20.418170765944723,19.93960238099098
Burkina Faso,20.43470672445294,19.93960238099098
Madagascar,20.456484254773304,19.93960238099098
Tanzania,20.834057484430872,19.93960238099098
Nigeria,21.526001576760446,19.93960238099098
