country,n_provinces,beta_cohort,country_mean
ZMB,10,-9.252889023219126,14.265656
GHA,10,-8.485598362437544,15.653461
BEN,12,-4.314517049735232,20.825161
EGY,27,-4.26441013567813,60.118748
MAR,16,-3.70330870900957,38.181297
MUS,10,-3.6290228708931247,88.33804
SEN,14,-3.392976971403759,8.029943
NAM,13,-3.0263098100395998,43.09406
TGO,6,-2.9104642451323577,6.507329
KEN,8,-2.0423833361174935,33.646763
SDN,15,-1.7812446529846655,28.021393
CMR,10,-1.4326654186480148,13.007872
MDG,22,-0.6572504304807136,7.764917
RWA,5,-0.27722410786807794,22.071405
TZA,30,-0.13727438005018422,9.587081
NGA,6,-0.06115856518405671,16.70747
LBR,15,0.23031038273451276,4.05891
UGA,8,0.2692774848546562,10.430396
GIN,34,0.44708688320237366,2.59272
STP,4,1.0510547010163596,42.958847
SLE,4,1.1165582059407693,6.254631
BWA,22,1.1231438818835815,71.783
BFA,13,1.422656492371404,2.387401
LSO,8,1.971516433615172,29.76979
MLI,9,2.8122207255504508,4.2476525
COG,4,10.377718392258883,19.547924
