check,n,share_inperson_b,share_inperson_se,subject,share_hybrid_b,share_hybrid_se,share_virtual_b,share_virtual_se
1. Baseline,11041,0.0805,0.00674,math,,,,
1. Baseline,11064,0.0347,0.00541,ela,,,,
2. Drop CO,10427,0.0869,0.00708,math,,,,
2. Drop CO,10430,0.0379,0.00531,ela,,,,
2. Drop CT,10255,0.0822,0.00711,math,,,,
2. Drop CT,10278,0.0341,0.00571,ela,,,,
2. Drop MA,9905,0.083,0.00692,math,,,,
2. Drop MA,9928,0.036,0.00558,ela,,,,
2. Drop MN,9381,0.0834,0.00703,math,,,,
2. Drop MN,9404,0.0353,0.00558,ela,,,,
2. Drop MS,10385,0.0696,0.00699,math,,,,
2. Drop MS,10408,0.0303,0.00591,ela,,,,
2. Drop OH,8015,0.0822,0.0091,math,,,,
2. Drop OH,8034,0.0294,0.00749,ela,,,,
2. Drop RI,10933,0.0812,0.00675,math,,,,
2. Drop RI,10957,0.0348,0.00543,ela,,,,
2. Drop VA,10381,0.0781,0.00607,math,,,,
2. Drop VA,10404,0.0395,0.0052,ela,,,,
2. Drop WI,9065,0.0764,0.00727,math,,,,
2. Drop WI,9088,0.0332,0.00572,ela,,,,
2. Drop WV,10766,0.0819,0.00688,math,,,,
2. Drop WV,10789,0.0345,0.00556,ela,,,,
2. Drop WY,10897,0.0808,0.0068,math,,,,
2. Drop WY,10920,0.0348,0.00546,ela,,,,
3. Drop VA outlier,10381,0.0781,0.00607,math,,,,
3. Drop VA outlier,10404,0.0395,0.0052,ela,,,,
4. Drop top 1% enrollment,10927,0.0818,0.00702,math,,,,
4. Drop top 1% enrollment,10950,0.0372,0.00489,ela,,,,
5. Unweighted OLS,11041,0.0838,0.0054,math,,,,
5. Unweighted OLS,11064,0.0421,0.00383,ela,,,,
6. No year×state FE,11041,0.1525,0.01048,math,,,,
6. No year×state FE,11064,0.0523,0.00532,ela,,,,
7. Add share_hybrid,11041,0.1427,0.01252,math,0.0821,0.01321,,
7. Add share_hybrid,11064,0.0843,0.0093,ela,0.0657,0.01066,,
8. Placebo (pre-period raw),8745,1.1187,0.21059,math,,,,
8. Placebo (pre-period raw),8761,1.3415,0.20439,ela,,,,
9. Permuted treatment,11041,-0.0003,0.0073,math,,,,
9. Permuted treatment,11064,0.0033,0.00464,ela,,,,
10. Treatment=virtual,11041,,,math,,,-0.1076,0.01281
10. Treatment=virtual,11064,,,ela,,,-0.0689,0.00948
11. Drop small (<500),9276,0.0812,0.00692,math,,,,
11. Drop small (<500),9280,0.0351,0.00555,ela,,,,
12. Cluster by state,11041,0.0805,0.01266,math,,,,
12. Cluster by state,11064,0.0347,0.00768,ela,,,,
