state,Districts,Avg Years,Pass 2019,Pass 2021,% In-Person,% Hybrid,% Virtual,% Black+Hisp,% FRPL
CO,133,4.62,35.22,27.71,28.5,44.01,27.49,38.81,42.13
CT,159,4.94,48.56,37.75,47.39,36.27,9.12,39.18,42.0
MA,284,4.0,48.8,33.67,27.41,54.36,18.23,29.91,
MN,340,4.89,57.49,44.43,16.1,69.14,14.76,20.17,35.18
MS,134,4.9,77.32,62.74,66.71,18.4,14.89,52.63,76.88
OH,606,4.99,66.17,51.46,50.01,32.12,17.13,21.03,31.16
RI,37,2.92,29.92,20.55,44.51,41.71,8.22,33.31,47.33
VA,132,5.0,79.2,47.23,9.66,51.77,38.57,39.51,46.25
WI,396,4.99,44.14,34.34,51.46,22.06,18.38,21.31,41.39
WV,55,5.0,38.81,28.04,37.56,41.43,17.39,6.12,53.33
WY,48,3.0,53.92,49.75,86.52,6.23,0.73,15.28,35.23
