variable,label,mean,sd,beta,se,pub_mean,pub_beta,pub_se,match
c_ask_private_pol_post,"Request Private Good, 2012",0.21297337832770905,0.409485762956069,-0.03623783234843124,0.009616209244823645,0.195,-0.032,0.01,False
ask_pol_private_2013,"Request Private Good, 2013",0.08565531475748193,0.27992662375664545,-0.003209541489238133,0.0069502949279039725,0.086,-0.003,0.007,True
c_pol_askrec_priv_post,"Request & Receive Private Good, 2012",0.12420262664165103,0.32987447026746297,-0.021353548288826886,0.0077588316866801475,0.115,-0.02,0.008,False
askrec_pol_private_2013,"Request & Receive Private Good, 2013",0.03869969040247678,0.19292804453072732,-0.0014378196716054417,0.0052745910676976,0.039,-0.001,0.005,True
frequent_interactor,Frequent Interactions w/ Politician,0.1837270341207349,0.38733404755638784,-0.0099607353245521,0.008422838148455387,0.184,-0.01,0.008,True
c_candidate_visit,Received Visit from Candidate Rep,0.6962686567164179,0.45995386048653886,0.014878908275280031,0.011239037776503246,0.696,0.015,0.011,True
vote_same_party,Voted Same Coalition,0.7181400688863375,0.4500346363740836,-0.019271263191455515,0.015199854743356663,0.718,-0.019,0.015,True
vote_together,All HH Members Voting Same,0.7728246892413202,0.4190966175329655,-0.022536219744778083,0.011432165978107051,0.773,-0.023,0.011,True
c_declared_dummy,Any Declared Support,0.48469006721433905,0.4998588866076635,-0.06582430853359442,0.01578304139288295,0.485,-0.066,0.016,True
declare_body,Declared Support on Body,0.18483943241224796,0.3882397470845346,-0.02093927701885666,0.009228471986324845,0.185,-0.021,0.009,True
declare_house,Declared Support on House,0.38722927557879017,0.4872077598718441,-0.058781281193231213,0.016029005441193164,0.387,-0.059,0.016,True
declare_rally,Declared Support at Rally,0.21807318894697536,0.4130144917075738,-0.03619220748391112,0.010292508413282022,0.218,-0.036,0.01,True
