cou,country,rnd_diff,rnd_diff_m,rnd_eff,rnd_eff_m
FRA,France,0.5022026889195954,0.6160194174819158,0.32192116669921633,0.30297483464240926
BEL,Belgium,0.3698042936522997,0.5812903656836168,0.18952277143192067,0.26824578284411027
JPN,Japan,0.3871373883622191,0.4482832666425197,0.20685586614184007,0.13523868380301318
AUT,Austria,0.3580865427066771,0.3156543365790059,0.17780502048629807,0.002609753739499343
USA,United States,0.18028152222037905,0.31304458283950654,0.0,0.0
FIN,Finland,0.12438291873029467,0.22461226847412363,-0.05589860349008438,-0.0884323143653829
KOR,Korea,0.06563108764107378,0.07017326810211366,-0.11465043457930527,-0.24287131473739287
AUS,Australia,0.09937677747015582,0.058774352528819795,-0.08090474475022323,-0.25427023031068674
SVN,Slovenia,0.013442479879298648,0.003845289267667251,-0.1668390423410804,-0.3091992935718393
DEU,Germany,0.0,0.0,-0.18028152222037905,-0.31304458283950654
DNK,Denmark,-0.21503039039046612,-0.07098130948299752,-0.3953119126108452,-0.38402589232250406
NOR,Norway,-0.0020983031796692783,-0.12121306046415792,-0.18237982540004832,-0.43425764330366445
GBR,United Kingdom,-0.19021489407687597,-0.13922381365486447,-0.37049641629725505,-0.452268396494371
NLD,Netherlands,-0.07798220508023666,-0.2071838274250979,-0.2582637273006157,-0.5202284102646044
PRT,Portugal,-0.4088841848642392,-0.20918085398937958,-0.5891657070846182,-0.5222254368288861
CAN,Canada,-0.3034770147447928,-0.2563836336596259,-0.4837585369651718,-0.5694282164991324
ITA,Italy,-0.38136401391911445,-0.3483741050423068,-0.5616455361394935,-0.6614186878818133
IRL,Ireland,-0.49670970850783225,-0.40553814097294705,-0.6769912307282113,-0.7185827238124536
ESP,Spain,-0.5080401017994278,-0.5296645837723558,-0.6883216240198069,-0.8427091666118623
CZE,Czech Republic,-1.086796012120482,-0.9875185367451901,-1.2670775343408611,-1.3005631195846967
HUN,Hungary,-1.0137401783225113,-1.066942335683955,-1.1940217005428904,-1.3799869185234614
TUR,Turkey,-1.5093291255364087,-1.4697041135032438,-1.6896106477567878,-1.7827486963427503
POL,Poland,-1.710886962788565,-1.7335529720203577,-1.891168485008944,-2.046597554859864
CHL,Chile,-2.3345976746707082,-2.1857504274909667,-2.514879196891087,-2.4987950103304732
MEX,Mexico,-2.45004844625934,-2.2987418733658194,-2.630329968479719,-2.611786456205326
