check,spec,stdSTCasesT,stdSTDeathsT,stdSTExLowEstT,STCasesT
1. Baseline (col1 (cases+deaths)),stdSTCasesT / stdSTDeathsT,"-0.0780 (SE 0.0404, p=0.053)","+0.0699 (SE 0.0459, p=0.127)",,
1. Baseline (col2 (excess)),stdSTExLowEstT,,,"-0.0554 (SE 0.0288, p=0.054)",
2. HC1 robust SE (col1 (cases+deaths)),stdSTCasesT / stdSTDeathsT,"-0.0780 (SE 0.0543, p=0.151)","+0.0699 (SE 0.0679, p=0.303)",,
2. HC1 robust SE (col2 (excess)),stdSTExLowEstT,,,"-0.0554 (SE 0.0366, p=0.130)",
3. Cluster at State (col1 (cases+deaths)),stdSTCasesT / stdSTDeathsT,"-0.0780 (SE 0.0489, p=0.111)","+0.0699 (SE 0.0499, p=0.161)",,
3. Cluster at State (col2 (excess)),stdSTExLowEstT,,,"-0.0554 (SE 0.0354, p=0.118)",
4. Drop 2 top COVID states (col1 (cases+deaths)),stdSTCasesT / stdSTDeathsT,"-0.1348 (SE 0.0532, p=0.011)","+0.1589 (SE 0.0715, p=0.026)",,
4. Drop 2 top COVID states (col2 (excess)),stdSTExLowEstT,,,"-0.0711 (SE 0.0302, p=0.019)",
5. Weeks >= 7 (col1 (cases+deaths)),stdSTCasesT / stdSTDeathsT,"-0.1485 (SE 0.1235, p=0.229)","+0.1348 (SE 0.1219, p=0.269)",,
5. Weeks >= 7 (col2 (excess)),stdSTExLowEstT,,,"+0.0125 (SE 0.0606, p=0.836)",
6. Drop all FEs (col1 (cases+deaths)),stdSTCasesT / stdSTDeathsT,"+0.0016 (SE 0.0460, p=0.973)","-0.0197 (SE 0.0401, p=0.623)",,
6. Drop all FEs (col2 (excess)),stdSTExLowEstT,,,"-0.0603 (SE 0.0138, p=0.000)",
7. State FE only (col1 (cases+deaths)),stdSTCasesT / stdSTDeathsT,"-0.0583 (SE 0.0457, p=0.202)","+0.0278 (SE 0.0436, p=0.524)",,
7. State FE only (col2 (excess)),stdSTExLowEstT,,,"-0.0793 (SE 0.0244, p=0.001)",
8. No controls (col1 (cases+deaths)),stdSTCasesT / stdSTDeathsT,"-0.0824 (SE 0.0507, p=0.104)","+0.0632 (SE 0.0461, p=0.170)",,
8. No controls (col2 (excess)),stdSTExLowEstT,,,"-0.0713 (SE 0.0252, p=0.005)",
9. Permutation p-value (cases),stdSTCasesT,"-0.0780 (SE 0.0167, p=0.000)",,,
10. LOO week range (cases),stdSTCasesT,"-0.2159 (SE 0.1748, p=0.000)",,,
11. Raw-var cases β × SD,STCasesT,,,,"-0.0780 (SE 0.0404, p=0.053)"
12. Placebo outcome,stdSTCasesT / stdSTDeathsT,"-0.0125 (SE 0.0401, p=0.756)","+0.0224 (SE 0.0438, p=0.610)",,
