Weeksent,STCasesT,STDeathsT,STExLowEstT,Posoutcome
1.0,0.0,0.0,0.0,0.7
2.0,0.2,0.0,0.0,0.55
3.0,0.0,0.0,0.0,0.5454545454545454
4.0,1.0,0.0,0.0,0.6
6.0,0.0,0.0,0.0,0.4666666666666667
7.0,29.345454545454544,0.14545454545454545,1.7272727272727273,0.5636363636363636
8.0,368.01960784313724,9.42483660130719,1.5032679738562091,0.5620915032679739
9.0,5147.669421487603,95.54545454545455,37.53719008264463,0.5950413223140496
10.0,6523.708333333333,138.5625,410.2083333333333,0.5208333333333334
11.0,10342.690721649484,290.6185567010309,279.6701030927835,0.6185567010309279
12.0,16825.924731182797,918.3118279569892,487.6774193548387,0.5806451612903226
13.0,14356.04,634.8,195.9,0.52
14.0,15486.55,676.65,204.6,0.6
15.0,5605.0,59.0,0.0,0.6
16.0,27985.95,878.4,131.75,0.6
17.0,44539.0,2207.0,335.0,0.4
