tau,coef_0to130,se_0to130,coef_50to115,se_50to115
-5,0.025830953850309812,0.06096444036102468,-0.017976655192802005,0.05307969526380273
-4,0.03909832533777946,0.06622320304650788,-0.012866223382447473,0.059192187488399675
-3,0.046031638798887275,0.04563789331875626,0.03503455986864479,0.042108764794253496
-2,-0.003822982347417181,0.023885135196656675,0.015357084182927583,0.031252364881034514
0,0.051943962654785736,0.02822310401758751,0.03989594144728126,0.025998806128179248
1,0.1006907854705914,0.03500724386283257,0.11237708553653025,0.04264159341351506
2,0.07992062535811595,0.04698899946490925,0.1044152341478981,0.05842084693797629
3,0.10540951346070049,0.05473910329467787,0.10533133027612673,0.06442923085283526
4,0.16778086879112553,0.05567652932890972,0.18261373414876392,0.06386850308634977
5,0.2107262357431512,0.06369062185828901,0.2305902323721336,0.07054445951307302
