check,beta_or_min,se_or_max,n_or_extra
Baseline (Table 1 col 1),0.10033313024960938,0.055870571455646875,705.0
1. No denominator control,0.10132477603148615,0.058986880841184926,705.0
2. No CPS/policy controls,0.1274598445802258,0.057342000560826,705.0
3. LOO jackknife range,0.08005275239870202,0.14273760844528718,45.0
4. HC1 (non-clustered) SE,0.10033313024960938,0.02382683450242997,705.0
5. Years >= 2012,1.3209623719550905,0.09923523302748347,177.0
6. Years <= 2007,-0.07057957204360532,0.09701607325826121,373.0
7. Drop CA/TX/NY/FL,0.0836789010561742,0.05714743897144128,672.0
8. Placebo permutation (100 draws),0.39365898806194366,0.05575311623269653,1.0
9. IHS instead of log,0.1003331302417047,0.055870571454181006,705.0
10. Cluster by Census region,0.10033313024960938,0.013019562449734397,705.0
11. Winsorize outcome 1/99,0.09117727604056158,0.05291710781212096,705.0
12. Full panel (col 7),0.0951018720258554,0.04750737048892309,1071.0
