check,s1980,s2000,ds,N
baseline (40 occ),0.79,0.73,0.493,231669
1. trim 1/99 pct,0.791,0.732,0.525,229930
2. winsorize logw 1/99,0.787,0.728,0.523,231669
3. drop allocated wages,0.782,0.71,0.452,175595
4. include part-time,0.778,0.723,0.493,285602
5. age 25-55,0.788,0.732,0.496,189450
6. unweighted,0.783,0.724,0.478,231669
7. person weight (wgt),0.779,0.721,0.502,219373
8. balanced occ panel,0.79,0.707,0.407,217767
9. drop N<5 cells,0.79,0.73,0.493,231669
10. 5-level edu (split GTC),0.79,0.73,0.493,231669
11a. men only,0.823,0.723,0.408,137255
11b. women only,0.792,0.717,0.598,94414
