ord1,country,n_obs,first,last,ffr_min,ffr_max,hr_min,hr_max,fx_min,fx_max,fx_std,hr_neg,ffr_neg
16,Australia,342,0,341,0.0173,0.191,0.0421,0.2141,-0.4004775,0.6931472,0.26767631484580484,0,0
17,Austria,300,0,299,0.0292,0.191,0.026300000000000004,0.11670000000000001,2.273156,3.146305,0.21379027002031833,0,0
19,Belgium,300,0,299,0.0292,0.191,0.0319,0.1843,3.33149,4.197653,0.19361703786588785,0,0
12,Brazil,106,302,407,0.0098,0.0654,0.1098,0.3811,0.5187938,1.337629,0.20732954279271307,0,0
3,Canada,443,0,442,0.0011,0.191,0.0019,0.2463,-0.040822,0.4700036,0.12859634040643464,0,0
2,France,300,0,299,0.0292,0.191,0.0338,0.2346,1.386294,2.313525,0.20275653644761804,0,0
1,Germany,281,19,299,0.0292,0.191,0.0324,0.1565,0.3220835,1.196948,0.209443854528303,0,0
7,Indonesia,125,283,407,0.0098,0.0654,0.071,0.7139,7.937507,9.54413,0.21979702377734248,0,0
4,Italy,262,38,299,0.0292,0.191,0.0333,0.2449,6.690233,7.641886,0.24852040541905937,0,0
5,Japan,443,0,442,0.0011,0.191,-0.0022,0.12,4.405133,5.722604,0.37713032012824516,11,0
9,Korea,121,287,407,0.0098,0.0654,0.0187,0.0561,6.818717,7.439283,0.13078021577894575,0,0
8,Mexico,156,252,407,0.0098,0.0654,0.0453,0.7513,1.706565,2.443216,0.16786810961697338,0,0
46,New Zealand,294,148,441,0.0011,0.0985,0.024,0.2596,0.2231435,0.9202827,0.15460110472341285,0,0
48,Norway,425,0,424,0.0015,0.191,0.0249,0.1695,1.572774,2.249184,0.16243932341404382,0,0
10,Philippines,29,282,310,0.0463,0.0556,0.0877,0.1957,3.320349,3.779177,0.10323216356920716,0,0
11,South Africa,148,260,407,0.0098,0.0654,0.0661,0.2239,1.291984,2.451005,0.2596284243546753,0,0
57,Switzerland,344,72,415,0.0098,0.191,0.0008999999999999998,0.1317,0.0099503,1.033184,0.20628960400541138,0,0
6,UK,442,0,441,0.0011,0.191,0.0037,0.1978,-0.8915981,-0.0943106,0.14744974539069716,0,0
