ord1,country,T,lag,fev_fx_extra,fev_fx_ext,fev_fx_dom,fev_ffr_extra,fev_ffr_ext,fev_ffr_dom,fev_hr_ext,fev_hr_dom
16,Australia,342,4,0.0009054461772835167,0.847824302112934,0.15127025170978256,0.9434621221843014,0.05608637853514123,0.00045149928055747835,0.135672191431486,0.5497954675389789
17,Austria,300,6,0.010219364378327581,0.12313032143329838,0.866650314188374,0.7995012073729788,0.20017580969731041,0.0003229829297105212,0.8173572509665529,0.15043244647768345
19,Belgium,300,5,0.004594253497262768,0.9870703886576828,0.008335357845054344,0.9679814510122873,0.03173127491628893,0.00028727407142406557,0.01675072986311256,0.5345045592348125
12,Brazil,106,10,0.014041847210281498,0.9659754094114206,0.01998274337829825,0.3127541122842828,0.6855455851279925,0.0017003025877246705,0.28192980516072874,0.5905340659365607
3,Canada,443,5,0.0007223023479957865,0.4422889833916779,0.5569887142603263,0.9958798967156938,0.004049663610224569,7.043967408158285e-05,0.10677037831433,0.10284581242327666
2,France,300,6,0.004276185995984455,0.3910882569295952,0.6046355570744203,0.9159637132903035,0.08364107149691359,0.000395215212782572,0.6172158534515768,0.18185796002297405
1,Germany,281,4,0.008716429565625468,0.21739657627887515,0.7738869941554994,0.8273798914950239,0.17223278642346695,0.00038732208150893296,0.7503682388999002,0.08648421150309034
7,Indonesia,125,3,0.03644950589226024,0.8357184304794368,0.12783206362830313,0.9526315317751716,0.04729356598627708,7.490223855130251e-05,0.5134384445197958,0.4765833901708594
4,Italy,262,7,0.001000295116452221,0.4409147603679934,0.5580849445155546,0.873070698511368,0.12437380385457439,0.0025554976340575342,0.6392117373652088,0.3007391315463247
5,Japan,443,6,0.021104227446171298,0.21744948406544964,0.7614462884883794,0.9339682986616356,0.0652029887357736,0.0008287126025907373,0.6876155911682378,0.1292497660970238
9,Korea,121,2,0.000549897772216174,0.2145393009497599,0.7849108012780243,0.11792957324807286,0.8808262613009028,0.001244165451024161,0.23185691959132962,0.027471109476091382
8,Mexico,156,6,0.0022992999234995146,0.5192204081221463,0.4784802919543545,0.9786700535176535,0.02110643891724582,0.00022350756510066495,0.8161977979468065,0.05814052753318589
46,New Zealand,294,10,0.004881734467549482,0.1821110385538354,0.8130072269786148,0.9797384916251825,0.01993439875085165,0.000327109623965738,0.31459584110088984,0.3692907631958457
48,Norway,425,5,0.00033819969729127856,0.9614529807361211,0.038208819566587136,0.9903707891531475,0.009344268267188538,0.0002849425796640059,0.028334076515590223,0.7283852235822555
10,Philippines,29,2,0.2625923627649125,0.6473414861556142,0.09006615107947351,0.6498945829194954,0.3498607805552292,0.0002446365252755043,0.3004599187500805,0.22464471638836306
11,South Africa,148,3,0.03082236150525865,0.23805504749229084,0.731122591002451,0.6812620393253821,0.31739773610759103,0.0013402245670270478,0.7299463212110513,0.17426429808644603
57,Switzerland,344,6,0.019434852309629855,0.1839011026412131,0.7966640450491573,0.8266278814018971,0.17252618910806936,0.0008459294900331635,0.8315937044906394,0.09351190005939684
6,UK,442,6,0.0012269179970721231,0.6970388371705463,0.30173424483238137,0.9442800633730986,0.05434703672659307,0.0013728999003083779,0.032493454087657275,0.5884360705126306
