ord1,country,resid,ext,dom
16,Australia,-1.4251807730095751,0.7539030407521075,-1.6315566443368779
17,Austria,-2.2802008397988507,-2.566850859060465,5.8530633668861665
19,Belgium,-3.0406113551390255,-10.96635680083026,-0.3178185048076831
12,Brazil,-1.4801744595057729,-1.861662372081283,-1.0543508267512853
3,Canada,-0.2416895147558053,-2.3405479378154928,-0.7003337188150012
2,France,-2.56333833316357,-1.8957946299584585,-0.542976883395865
1,Germany,-2.9301350628611176,-3.80139087971261,3.852627489834548
7,Indonesia,-1.4052168575971828,-2.6983877949237147,-0.8410438929213496
4,Italy,-0.21032349531868993,-1.1147310458478674,1.7605105261964458
5,Japan,-3.116291483398747,-4.201793800711352,2.1666820987490083
9,Korea,-1.1967914886490376,-2.593550266939476,2.434648864770964
8,Mexico,-1.3086338938187874,-1.7378492655743047,-0.5179861407185415
46,New Zealand,-2.9066157894663633,-6.002492407685316,2.620755555526648
48,Norway,-1.4618530729068906,-3.295565780634827,-0.24170724700076374
10,Philippines,-1.9374431631529263,-12.32387092161932,1.5931390746957919
11,South Africa,-8.06813912079825,-4.636501963613687,1.7213041268296418
57,Switzerland,-3.308055650843851,-3.838428673718838,6.587002085194138
6,UK,-0.8680196491743167,-6.716047056794242,-0.6269768063896097
