term,pip,post_mean,post_sd,pip_pub,post_mean_pub,pip_diff,mean_diff
(Intercept),1.0,0.19479538812091202,0.0,1.0,0.191,0.0,0.004
SE,0.99999974773494,1.3335599681377444,0.04200188928300343,1.0,1.334,-0.0,-0.0
DIDorRKD,0.1741493666765376,0.014102654072108754,0.032000809859035535,0.167,0.013,0.007,0.001
RDD,0.11885975973232486,0.00399713187030192,0.015024962514542925,0.112,0.004,0.007,-0.0
MacroTreatment,0.1791516749082799,0.02520703786846444,0.05528277418467556,0.173,0.024,0.006,0.001
PBD,0.30204290418564844,-0.08993768865537315,0.1584258989836741,0.299,-0.09,0.003,0.0
RRxBaselinePBD,0.2957710054340117,0.0007419321595787165,0.0012335541879361536,0.292,0.001,0.004,-0.0
RRxBaselineRR,0.6340361285894972,0.3866416574736656,0.3026977781003598,0.639,0.39,-0.005,-0.003
PBDxBaselinePBD,0.9928083732254445,0.006941734842079437,0.0008472290066230586,0.996,0.007,-0.003,-0.0
PBDxBaselineRR,0.16702636505141769,-0.02924362367065355,0.13054668719671692,0.161,-0.029,0.006,-0.0
Admin,0.13415615887014032,-0.008557840699761964,0.033075366948368566,0.127,-0.008,0.007,-0.001
NonemploymentAsOutcome,0.6566880367784146,-0.12295891974151098,0.09108427422116908,0.659,-0.123,-0.002,0.0
HazardModel,0.11496359011446149,-0.0019006823078872215,0.011851809337319861,0.108,-0.002,0.007,0.0
YearsTo2023,0.12219264352341352,-0.00021594645459402658,0.0007119534798715797,0.115,0.0,0.007,-0.0
RelativeUnemp,0.11959748033668306,0.0011218592331686402,0.003550861427307476,0.113,0.001,0.007,0.0
USA,0.2547345298941052,-0.04189252839899679,0.08744449239328608,0.249,-0.041,0.006,-0.001
TaxWedge,0.14935201083708738,-0.0006756427559988585,0.0029852602543580012,0.143,-0.001,0.006,0.0
ImpactFactorZ,0.3824810196971735,0.026385413749061108,0.03390512402391204,0.38,0.026,0.002,0.0
