check,n,mean_eps,beta_p,theta,tau,df
baseline,49,0.46239272364122447,0.0762733752861414,0.09498243426181496,0.24925552004492288,2.9173327834675677
drop |elas|>2,49,0.46239272364122447,0.0762733752861414,0.09498243426181496,0.24925552004492288,2.9173327834675677
drop top 10% SE,44,0.40808985599363634,0.061679241356260545,0.05748800786167685,0.20535867191677987,1.91796960012175
winsorize 1/99,49,0.461488000778302,0.0770678563754461,0.09793082428104444,0.25039128346803374,2.972302974296908
non-USA only,40,0.46480510153675,0.017672248788357135,-0.035442502730569994,0.2656314741989636,2.948604194510745
year>=2000,46,0.45377587053086943,0.06655253128157462,0.07359707475908171,0.25082835772057505,2.6998198466442545
admin-data only,45,0.45331913257711115,0.05496318372962608,0.08597833971444699,0.2607146159863939,2.9125339791172036
quasi-exp only,47,0.46746262677489353,0.05907935069907003,0.06782001255718756,0.2595511148342638,2.9478181485265034
LOO min theta (drop paper 48),48,,,0.06296560946888949,,
LOO max theta (drop paper 65),47,,,0.12082932971858232,,
Normal dist,49,0.46239272364122447,0.06344140586736621,0.029073004531940918,0.4733324419499929,
