check,n,mean_eps,beta_p,theta,tau,df
baseline,42,0.43134952869928567,0.12049189861287535,0.21444812553953935,0.26287117827188866,3.799008164751906
drop |elas|>2,39,0.43860738431717944,0.13879464895611815,0.2257065808607614,0.26428259727814213,4.094957731351591
drop top 10% SE,37,0.5890834423613514,0.09042989727812467,0.2028595351875639,0.22858412271167877,2.84999236229001
winsorize 1/99,42,0.44169396974904757,0.11950172325409851,0.21348450020964888,0.26782355849118356,3.9930915283835
USA only,17,0.47540714247647065,0.14554586049090237,0.31005099214120335,0.13845799699893083,399.56195705681057
non-USA only,25,0.4013903513307999,0.06020748469923984,-0.25505513329247537,0.7687083033519646,13481476255942.668
year>=2000,29,0.5826585741034482,0.08586845535020993,0.06547330501845106,0.5682020572557211,21.847561594180803
admin-data only,32,0.5404814929021875,0.07279965038722183,0.04238406943481726,0.4519527976887243,7.413317388915181
quasi-exp only,22,0.38007190754863635,0.031211449616437584,-0.5516353733657646,0.8275277913510912,12519695836930.406
LOO min theta (drop paper 58),41,,,0.17581477778309795,,
LOO max theta (drop paper 38),41,,,0.2554869938076637,,
Normal dist,42,0.43134952869928567,0.08172726886802612,0.06927267589321426,0.49526611216310257,
