check,beta_rd,se_rd,beta_int,se_int,n,R2,t_rd
Baseline (spec 3),0.10451706203576819,0.04692914695552777,0.06497650412093071,0.07125527759158007,1565,0.41246796050719703,2.2271246936325815
1. Drop xx=zz=0 obs,0.127438754548342,0.04874205096388707,0.017781118458773972,0.0701928372644417,938,0.4985847567063474,2.614554620255131
2. Drop top-zz uni,0.11025980895222687,0.050905417785568105,0.08897351890166742,0.08497897369807443,1564,0.38720409073600526,2.1659739522555492
3. Trim 1%% yy tails,0.10918319411968663,0.04692409585751363,0.06316770524270161,0.07146694002457843,1533,0.46012470923085347,2.32680443009972
4. Winsorize xx 1/99,0.14115545121225967,0.060468520178545856,0.0521397277899552,0.0989277903489348,1565,0.48026868581519244,2.3343625872680347
5. Drop 10 biggest unis,-0.0030758109083754348,0.06040799400526682,0.11602280896766846,0.09476042708753646,1555,0.4619423996741743,-0.05091728270445899
6. Unweighted (aw=1),-0.003962625981075125,0.01590919257417414,0.04551886078849021,0.03737872031473471,1565,0.21292224120842096,-0.24907775568118848
7. Cluster at uni_ID,0.10451706203576819,0.045969072343344144,0.06497650412093071,0.07189468106750266,1565,0.41246796050719703,2.2736387033248713
8. Drop CA & NY,0.07709984616674627,0.1410245400691221,0.07305600596616192,0.12445689978159116,1337,0.4209822861489343,0.5467122681552896
"9. PNP only, no interaction",0.002047672452363497,0.056019660972212205,,,1090,0.3314173491384036,0.0365527462470581
"10. Public only, no interaction",0.16282015665147517,0.07183302476755624,,,475,0.513982169634322,2.2666476481860993
11. No state FE,0.09207743768423263,0.04631593122461643,0.08429442278726226,0.06165011240509106,1565,0.31313915900786393,1.9880295019372178
12. Placebo zz shuffle (200x),0.5215342871013444,4.669161909857504,,,1567,0.91,0.1116976230788409
