spec,coef,pub_b,pub_se,rep_b,rep_se,diff_b_pct
(1) Benchmark,R&D,0.15039,0.05324,0.15039402238493732,0.053235377592465556,0.0026746359048636413
(2) Sector IV,R&D,0.10438,0.03249,0.10438426980344465,0.03249291382245611,0.00409063368906432
(2) Sector IV,R&D*PNP,0.06313,0.07258,0.06312543818797231,0.07257887701188954,-0.007226060553928771
(2) Sector IV,PNP,2811.084,371.881,2811.0844607301387,371.8809561995661,1.6389767751922684e-05
(3) +controls,R&D,0.10452,0.04693,0.10451706203576819,0.04692914695552777,-0.0028109110522521207
(3) +controls,R&D*PNP,0.06498,0.07126,0.06497650412093071,0.07125527759158007,-0.005379930854542686
(3) +controls,PNP,2877.047,355.832,2877.046519514105,355.8317624129467,-1.6700661997120542e-05
(NLA),R&D,0.1167,0.047,0.1167019921733248,0.04699630346638998,0.0017070893957199392
(NLA),R&D*PNP,0.04566,0.07455,0.045661426960859945,0.07455383667400947,0.003125188041931626
(NLA),PNP,3166.481,431.292,3166.48113166351,431.2917126172544,4.158038839304292e-06
(LAC),R&D,4.038,16.221,4.03803437991377,16.220613161091478,0.0008514094544350773
(LAC),R&D*PNP,-3.969,16.248,-3.969068803656149,16.248342449909476,0.0017335262320211427
(LAC),PNP,3805.973,1500.67,3805.972908330812,1500.670643995463,-2.408561172021042e-06
(Placebo),Amenity,3.82,2.79,3.820080594112594,2.7895950444868505,0.002109793523411313
(Placebo),Amenity*PNP,-1.252,3.061,-1.2516250833632805,3.0607051667176766,-0.029945418268331737
(Placebo),PNP,1374.018,3094.988,1374.0169902711702,3094.989231132809,-7.348730728314128e-05
