tau,rho_DyH_DrH_py,rho_DyF_DrF_py,rho_DyH_De_py,rho_DyF_De_py,rho_Dydiff_De_CORRECT_py,rho_Dydiff_DyF_STATA_py,rho_DyH_DyF_py
1,1.0,1.0,-0.2672766754494717,0.009651366132658457,-0.2912980183471948,-0.34854058811445043,0.4661708461157304
2,0.9628012528880192,0.9618359297564132,-0.279871701308971,0.023339452185183105,-0.342928977293617,-0.2971407032236951,0.5545832875943754
3,0.9098526561134839,0.9108639138461367,-0.27549514246479356,0.0433049750416306,-0.3747682296020634,-0.2313065389651243,0.5952193677066174
4,0.862627043505934,0.8615160657561333,-0.262125653404689,0.05828132501074962,-0.38816116988332355,-0.1626909490694157,0.6278536882852181
5,0.8203649093130286,0.8114537175703889,-0.24373653426780942,0.06657729806999396,-0.38869145045886394,-0.10143525292851728,0.6618461011987591
6,0.7811552258974852,0.7612491189922912,-0.2224251112407271,0.07488797400184571,-0.38324368378796325,-0.048710993339120566,0.6922443855127411
7,0.7439323726734702,0.7117626860267635,-0.19964576277271143,0.08059470889663047,-0.3703450452006348,-0.012605353983303995,0.7170818716064523
8,0.7083153310766779,0.6659758160178004,-0.17654105662777642,0.08842926080452489,-0.35689949546419947,0.012538078367470454,0.7375859313381964
9,0.6743528388605144,0.6234238730428467,-0.15402549527791518,0.09670898823587623,-0.34093615421747353,0.02527538554893155,0.7513146666003041
10,0.6423277562900114,0.5861780504249106,-0.13280886206473952,0.10248679979974044,-0.32368936932364833,0.029727081555315168,0.7635908622349604
11,0.6126138628829406,0.5521103191327775,-0.11340626295328844,0.11056754873707882,-0.30761286925730874,0.023354643691062826,0.7688206673819884
12,0.5855744370237913,0.5210289192800472,-0.09615451314089528,0.11373772512523331,-0.2888067220251925,0.019271262812751353,0.7742189521856712
13,0.5614985705695388,0.4947665180044355,-0.08123367033463363,0.12089053057077827,-0.2760267128079108,0.0055459814504791975,0.7748712206010733
14,0.5405676305291794,0.4731184621904764,-0.06869517516679277,0.12485622515058546,-0.26197698363397415,-0.00904295849732743,0.7736347615456038
15,0.5228476513205896,0.4512012752369585,-0.05849226831196214,0.13076447359652302,-0.252931594985797,-0.03033097492089223,0.7694039168338701
16,0.5082956305587879,0.43499831991607707,-0.050508054614184394,0.13216486859358462,-0.2413232681811782,-0.047832569905515675,0.7647748090536669
17,0.4967766393280734,0.4201403512228846,-0.04458076266302079,0.1365920558440151,-0.23664838011224115,-0.07188117876531534,0.7585411552332143
18,0.48808303451575324,0.4051947210954038,-0.04052328087713233,0.13748204974608927,-0.22930514306929525,-0.09353351945911847,0.7504194018316724
19,0.48195345933465156,0.3918864359144709,-0.03813676158164844,0.13874644829016902,-0.22492450862111563,-0.11357534802490857,0.7421390765440657
20,0.47808946284905846,0.38305376226445487,-0.03722058110063075,0.1358325654704457,-0.21780242760666416,-0.1383285994156265,0.7327232013542136
