label,amz_agg,amz_se,amz_n,bn_agg,bn_se,bn_n
[0] Baseline (no covariates),0.12235283284101776,0.0068191630762990596,101217,-0.022326539185680627,0.005009067536154714,98946.0
[1] + rating covariate,0.12229010241803309,0.006818125719497883,101217,-0.022204411626138572,0.005006533427189761,98946.0
[2] Heteroskedasticity-robust SE (no cluster),0.12235283284101776,0.002601452337046988,101217,-0.022326539185680627,0.0019639098800072054,98946.0
[3] Winsorize price at 1/99 pct,0.12194901485984407,0.006812994628441209,101217,-0.020818388165410255,0.004634767654349087,98946.0
[4] Drop top-5% volatile titles,0.11043453545517684,0.0060000552511671685,94787,-0.014267562820859118,0.0044394728668777726,94069.0
[5] Balanced panel (≥40 weeks),0.19809108147253535,0.01712769068903949,22666,-0.023291105811606372,0.011620570499070755,22538.0
[6] Drop ±4 week window around switch,0.11732935926112288,0.00812229701494229,91156,-0.03100007435794576,0.0063762729595995635,88280.0
"[7] Placebo: 12wk-early pseudo-switch, pre-period only",-0.02478335131658481,0.006362194624171986,69342,0.013595423683848865,0.005665116852650347,68850.0
[8.1] Drop Harper Collins,0.11900260517664155,0.00743624778872952,91799,-0.01520705109038796,0.005657607894306188,88903.0
[8.2] Drop Hachette,0.13793167391748518,0.008228659546268212,91558,-0.031102996456681797,0.005791112729355615,90006.0
[8.3] Drop Simon & Schuster,0.10794319181149684,0.00772797861384265,88831,-0.024106810733760503,0.006461871081296859,87210.0
[8.4] Drop Macmillan,0.1308325076559202,0.007020441316421227,93366,-0.00951744609123481,0.004655764364072331,91553.0
[8.5] Drop Penguin Random House,0.12308718499383126,0.008117375564426339,61006,-0.030493642035917923,0.00609574190268603,60581.0
[9] Cluster at book-store,0.12235283284101776,0.0068191630762990596,101217,-0.022326539185680627,0.005009067536154714,98946.0
[10] Pooled w/ store×week FE,0.049656168248768257,0.004440821544992455,200163,,,
