store,publisher,did_A,se_A,did_B,se_B
Amazon,Harper Collins,0.11385483628797928,0.015208865371840977,0.11389642551270694,0.01520993479207635
Amazon,Hachette,0.0762580050449277,0.010229712255850669,0.07602632085524064,0.010237430031347604
Amazon,Simon & Schuster,0.15101279588387465,0.012965346327349263,0.15096771773670906,0.012966965039830945
Amazon,Macmillan,0.08622977200715642,0.0180301991438181,0.08621932333777933,0.0180273353078366
Amazon,Penguin Random House,0.2378065300225748,0.01371790844559655,0.23781153760499518,0.01371236125189006
Amazon,__aggregate__,0.12235283284101776,0.0068191630762990596,0.12229010241803309,0.006818125719497883
Amazon,__N__,101217.0,,101217.0,
Amazon,__R2__,0.060900460965746195,,0.06098528709335915,
B&N,Harper Collins,-0.05850956779440268,0.011606262331270588,-0.058558778210172066,0.011593045087182388
B&N,Hachette,0.008542655819732365,0.010082039773320336,0.00890788805404466,0.010078488907189792
B&N,Simon & Schuster,-0.01647044094303629,0.006874305463455067,-0.016362516044808886,0.0068689171583903455
B&N,Macmillan,-0.0744567995929754,0.01614103119191121,-0.07437845558762284,0.016134863373325002
B&N,Penguin Random House,0.057198756341407135,0.008541025441458875,0.057198817240128964,0.008538739702670653
B&N,__aggregate__,-0.022326539185680623,0.005009067536154714,-0.022204411626138572,0.005006533427189759
B&N,__N__,98946.0,,98946.0,
B&N,__R2__,0.013361083514430883,,0.013654882403834612,
