method,est,se,panel
diff,-8.32940727142699,2.1345456644385807,Big vs Non: post
reg,-9.174021426592777,2.3211941199667283,Big vs Non: post
om.reg,-9.487887124313133,2.6567155311060953,Big vs Non: post
match,-12.022389254512278,3.3060988598954677,Big vs Non: post
ipw,-12.086441819659006,4.573773404793574,Big vs Non: post
dr,-10.416929983369789,2.67765398524605,Big vs Non: post
diff,-0.3271840770212824,2.3934416472605475,Big vs Non: placebo
reg,-0.8681253747023938,1.3579426968329853,Big vs Non: placebo
om.reg,-0.5157266938844487,3.0345882844835965,Big vs Non: placebo
match,-4.686665631123475,3.2187007854830525,Big vs Non: placebo
ipw,-2.6384663829520774,4.284091876524079,Big vs Non: placebo
dr,-0.6417184650555962,1.2915630267678067,Big vs Non: placebo
diff,-5.409295549683012,1.3713999797995373,Small vs Non: post
reg,-4.088538358416846,1.154172055096718,Small vs Non: post
om.reg,-3.1995826773002047,1.149060043754671,Small vs Non: post
match,-4.235550804543654,1.6522765726675226,Small vs Non: post
ipw,-3.8842087649318997,4.712401207534811,Small vs Non: post
dr,-2.44414505223756,2.4188345439959633,Small vs Non: post
diff,-4.582047636088982,1.3458833505107508,Small vs Non: placebo
reg,-0.4560882153183856,0.5859067102112381,Small vs Non: placebo
om.reg,0.3041098565407365,1.2047953587113902,Small vs Non: placebo
match,-4.89624572045101,1.519402607789821,Small vs Non: placebo
ipw,-1.1494151770188485,4.197729463797454,Small vs Non: placebo
dr,0.4861349663705751,0.7668247132481072,Small vs Non: placebo
