method,est,se,panel
diff,-8497.516148134668,581.9157874466247,LDW-CPS full
reg,1066.3763206510866,626.8479119131238,LDW-CPS full
om.reg,1133.2753950558376,624.2600427699007,LDW-CPS full
match,1214.106393409407,766.8525390806946,LDW-CPS full
ipw,1377.1187881239243,654.7242162948322,LDW-CPS full
dr,1494.8971953719001,690.4808815322555,LDW-CPS full
diff,-15204.777421491654,655.9141810678799,LDW-PSID full
reg,4.157963784011997,854.1488676387639,LDW-PSID full
om.reg,687.8204542422845,635.2643739060518,LDW-PSID full
match,616.494282663045,1022.0182798988177,LDW-PSID full
ipw,2796.1797967823313,829.8622617269684,LDW-PSID full
dr,4235.414127315595,2664.676047132611,LDW-PSID full
diff,1176.1578876681474,835.383624255331,LDW-CPS trimmed
reg,1553.661536894015,810.7977546628059,LDW-CPS trimmed
om.reg,1627.0189706648116,676.2663432013694,LDW-CPS trimmed
match,1936.7861989771106,886.5678157171106,LDW-CPS trimmed
ipw,1562.8325327809257,809.5492064215877,LDW-CPS trimmed
dr,1578.1307769511661,779.699909151975,LDW-CPS trimmed
diff,-357.95258598327564,1112.4366147225044,LDW-PSID trimmed
reg,-1675.0456838179416,1148.9859466358691,LDW-PSID trimmed
om.reg,-1351.918254816523,902.0444401635818,LDW-PSID trimmed
match,-938.8802880860254,1354.2329452540296,LDW-PSID trimmed
ipw,-2147.3702176932898,1708.9825754969659,LDW-PSID trimmed
dr,-1481.9452572554983,1691.7343809758315,LDW-PSID trimmed
