check,estimate,se
"Baseline: OLS reg adj, LDW-CPS full",1066.3763206510866,626.8479119131238
"Baseline: OLS reg adj, LDW-CPS trimmed",1553.661536894015,810.7977546628059
1. Drop pre-earnings controls (full),-2973.487066527385,612.6856636113483
1. Drop pre-earnings controls (trim),1322.9827850023598,825.6914820371559
2. Drop re74/u74 (full),1166.5367421247001,625.5019261407632
"3. Outcome = log(1+re78), full",1.0860730165758308,0.3199129914919555
4. Winsorize re78 at 99th pct (full),764.9709648620867,547.9272841508056
5. Subgroup: black==1 (full),-48.1949760080153,19.783339568354283
6. Subgroup: black==0 (full),1392.2318386739876,1296.5777888446103
7. Subgroup: nodegree==1 (full),-75.84759184093339,10.182697592605212
"8. Placebo outcome re75, LDW only",224.34341886135505,218.32895674426422
"9. Permutation two-sided p (full, 500 reps)",0.024,0.0
10. Cluster SE by education (full),1066.376320646766,520.0850019302374
"11. Bootstrap SE (500 reps, full)",1104.4737346593463,610.4417210458963
"12. Outcome-model imputation, full",1133.2753950558376,624.2600427699007
"12. Outcome-model imputation, trimmed",1627.0189706648116,676.2663432013694
