,nsw.tr,nsw.co,cps,psid,ldw.tr,ldw.co
age,6.686390764666799,6.590276360542408,11.04521577771694,10.440757206599612,7.155019274786176,7.05774476810838
education,1.8177119695036406,1.6186859745264819,2.8708455824917696,3.0824345571026868,2.0106502564056283,1.614324612970996
nodegree,0.4443761891350587,0.38947017142319496,0.45643164928289187,0.4605934162621959,0.4558665770543018,0.3722438563166471
married,0.37480847173108356,0.36483922233992694,0.45297115909042235,0.3404356773399085,0.39272167914923606,0.3614970687019891
black,0.399659742440879,0.40047142031681365,0.26102370111891926,0.43344699127910913,0.3645579071767287,0.3790433928640541
hispanic,0.29270562973162245,0.31689391538352896,0.25855562340954763,0.17743888002187283,0.23712437052638075,0.3105892729404808
re75,4.874888996163444,5.201249819615603,9.270403407709408,13.59695486513766,3.219250879129821,3.102982087965136
u75,0.4846116845975599,0.4939478329836178,0.31203082147800687,0.30006025911479883,0.49122738912451425,0.4655650510410083
re74,,,9.569795963909225,13.406877171473338,4.88662035448509,5.687905639387995
u74,,,0.32452950495252,0.28092979909157484,0.4558665770543017,0.4338478284190647
