,n_nonnull,pct_nonnull
electronic_payments_pct_number,107,88.4
electronic_payments_pct_number_z,107,88.4
resourcetaxes,108,89.3
electronic_payments_pct_value,109,90.1
staff_pct_master,114,94.2
staff_pct_master_z,114,94.2
staff_pct_20_more_z,117,96.7
staff_pct_20_more,117,96.7
laborforce_per_FTE,118,97.5
fte_per_laborforce,118,97.5
tax_inc_sc,119,98.3
z_score,120,99.2
staff_index,120,99.2
vdem_meritocratic_recruitment,121,100.0
vdem_rigorous_impartial,121,100.0
tax_ex_sc,121,100.0
country_isora,121,100.0
population,121,100.0
income_group_wb,121,100.0
iso_code,121,100.0
vdem_executive,121,100.0
gdp_pc,121,100.0
