spec,n,Discount,se_Discount,Exchange,se_Exchange,FreeRation,se_FreeRation,OneTime,se_OneTime
R1: baseline (paper),239173,95.9317286587834,7.678108896832407,290.79408006864304,11.119433661488626,269.9335219573906,6.960490860062677,13.133173753957104,1.983609120982186
R2: winsorise @ p99 (340L),239173,95.40248310268876,7.475670298043086,282.9349195304364,9.474521167668764,266.47308526675033,6.878525982034331,13.130616230885376,1.9809399398761536
R3: drop top 1%,237314,91.43753428708028,5.948258847630123,269.0686063598085,10.72200625526038,258.5428131298114,7.701869302166589,13.23952510589104,2.027837311436234
R4: drop OneTime arm,236874,95.96350715376629,7.680860874042123,290.6409626020891,11.17850122716944,269.695670024315,7.066299734259298,,
R5: 10L villages only (N_v=86),208170,97.94295426097857,8.152012651381824,284.2029215636827,10.44617787157885,275.9223124399258,7.769432237335854,13.473927860340577,2.155048444271432
R6: months 9..15 only,118606,96.10149074656113,9.58902430921132,271.73121265028203,12.972090692496002,267.82092171688424,6.917779537502208,14.99100048579453,3.168465275798966
R7: drop villages with <200 HH (94 v),238055,95.94338355597948,7.680068604385115,290.66161957920497,11.175012068566966,270.5700801150166,7.058076620901615,14.071205616868335,1.966036737707882
R8: HH observed ≥3 months,238014,95.9312310037344,7.6789068322131255,290.79337389738146,11.120592409131309,270.5134379086726,7.033936892541062,13.087299390944068,1.9832962398450336
R9: y = any-orders binary,239173,0.37594349943719946,0.023405845730876573,0.9033751866495463,0.022022119779764846,0.892206045989558,0.018162215164392242,0.14079500640819334,0.009778644758385477
R10: village FE only,239173,95.93643548145657,7.67705224936401,290.79419498083547,11.119079474153622,269.93363943235937,6.960270713920499,13.1380175296396,1.9836173481148114
R11: y = log(1+litres),239173,2.0634991251353556,0.13368054523484824,5.203219422132902,0.13685000193640112,5.086494982389001,0.10531344776570585,0.6388450057482743,0.04951851631540482
