col,var,b,se,paper_b,paper_se
(1),Discount,0.37594349943719946,0.023405845730876573,0.38,0.02
(1),Exchangeable,0.9033751866495463,0.022022119779764846,0.9,0.02
(1),FreeRation,0.892206045989558,0.018162215164392242,0.89,0.02
(1),OneTime,0.14079500640819334,0.009778644758385477,0.14,0.01
(2),Discount0.1,0.09092469574376323,0.03211700767926144,0.09,0.03
(2),Discount0.5,0.1475782970637847,0.03849467511798272,0.15,0.04
(2),Discount0.9,0.8832779930172122,0.02332922548735256,0.88,0.02
(2),Exchangeable0.1,0.8916805313415735,0.03486350891370895,0.89,0.03
(2),Exchangeable0.5,0.873260031909247,0.03768591082479991,0.87,0.04
(2),Exchangeable0.9,0.9256328027586742,0.015815361045092395,0.93,0.02
(2),Exchangeable1,0.9250798439233284,0.020698728708649108,0.93,0.02
(2),FreeRation,0.8922062083584841,0.018162400639215925,0.89,0.02
(2),OneTime,0.14080170126964278,0.009780905157347341,0.14,0.01
(3),Discount,95.9317286587834,7.678108896832407,95.93,7.68
(3),Exchangeable,290.79408006864304,11.119433661488626,290.79,11.12
(3),FreeRation,269.9335219573906,6.960490860062677,269.93,6.96
(3),OneTime,13.133173753957104,1.983609120982186,13.13,1.98
(4),Discount0.1,19.993655095921472,9.308884780593036,19.99,9.31
(4),Discount0.5,34.07762901805819,10.839592840529681,34.08,10.84
(4),Discount0.9,232.1189616525274,7.217701037234434,232.12,7.22
(4),Exchangeable0.1,285.86127652774593,14.11793393711638,285.86,14.12
(4),Exchangeable0.5,282.6943920395298,14.561641999623767,282.69,14.56
(4),Exchangeable0.9,297.99037725428116,10.178222890729229,297.99,10.18
(4),Exchangeable1,297.15510648529977,11.217424310209642,297.16,11.22
(4),FreeRation,269.9335786777263,6.960562405036213,269.93,6.96
(4),OneTime,13.135512469790438,1.9832220540014482,13.13,1.98
