label,n_sites,n_wars,n_countries,cas_mean,cas_median,cas_total,caspop_mean_pct,caspop_median_pct,dur_mean
Baseline (all),694,502,148,119152.07568764778,12000.0,80904259.39191285,1.6449952,0.14868979,3.0478955007256894
Baseline (interstate),225,77,106,221270.92107506996,14000.0,49343415.3997406,3.49981,0.2641449,2.4776785714285716
Intrastate/other,469,425,119,69212.375,12000.0,31560844.0,0.7400087,0.1317208,3.3225806451612905
Excl. WWI+WWII,593,500,127,68690.51639363186,10846.0,39771808.99191284,0.84135234,0.12664692,3.0935374149659864
Excl. WWI only,593,500,127,68690.51639363186,10846.0,39771808.99191284,0.84135234,0.12664692,3.0935374149659864
Excl. WWII only,631,501,133,90574.59901284552,12000.0,55793952.99191284,1.2064095,0.1321997,3.047923322683706
Post-WWII (all),286,252,96,56816.00350877193,12940.0,16192561.0,1.0323534,0.13200906,4.117021276595745
Post-WWII (interstate),64,39,41,54898.015625,7439.25,3513473.0,1.7122716,0.052101184,2.625
Short (<2 yr),233,166,105,20327.403102453103,4280.0,4695630.116666667,1.2926525,0.05229045,1.0
Long (>=2 yr),456,344,130,171286.6033301268,19220.0,75879965.27524617,1.8358092,0.2494317,4.094298245614035
Pre-1945,397,245,122,154335.61723165886,10000.0,59110541.39972535,2.0870545,0.16105135,2.282828282828283
Post-1945,297,258,102,73627.4256492821,13502.0,21793717.9921875,1.0691155,0.13263947,4.081911262798635
