Check,Spec,F-test,Bonferroni,Wald
1. Alt controls,Col 3 (regions),<0.001,<0.001,1.000
1. Alt controls,Col 4 (regions+demo),<0.001,<0.001,0.977
1. Alt controls,Col 6 (all),<0.001,<0.001,0.644
2. Random subset,Draw 1,<0.001,<0.001,<0.001
2. Random subset,Draw 2,<0.001,0.021,<0.001
2. Random subset,Draw 3,<0.001,<0.001,<0.001
2. Random subset,Draw 4,<0.001,0.015,<0.001
2. Random subset,Draw 5,<0.001,<0.01,<0.001
3. Single category,Mfg employment (n=8),--,<0.001,--
3. Single category,Non-mfg employment (n=8),--,0.013,--
3. Single category,Unemployment (n=8),--,1.000,--
3. Single category,NILF (n=8),--,1.000,--
3. Single category,Transfers (n=9),--,0.121,--
3. Single category,Wages (n=3),--,0.643,--
3. Single category,Household income (n=2),--,0.456,--
3. Single category,Lagged outcomes (n=2),--,0.079,--
4. No weights,Unweighted,<0.001,0.111,1.000
4. No weights,Weighted (baseline),<0.001,<0.001,0.644
5. HC3 vs cluster,HC3,--,0.018,--
5. HC3 vs cluster,Cluster-robust (baseline),--,<0.001,--
6. AG sample,Baseline (N=145),--,<0.001,<0.001
6. AG sample,All non-missing (N=146),--,<0.001,<0.001
7. NQ individual,Joint (10 NCIVs),--,0.111,--
7. NQ individual,Top: l_USprod_Grapes_t,--,0.111,--
8. Bonf direction,2-sided (baseline),--,<0.001,--
8. Bonf direction,1-sided (asymmetric),--,<0.001,--
